cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
470p,470p,10,100k,1m,3.3n,642928,92.2913,70.4452
470p,470p,10,100k,1m,4.7n,600770,93.171,70.4452
470p,470p,10,100k,2.611k,1f,691841,98.5372,70.4452
470p,470p,10,100k,2.611k,470p,703247,96.3481,70.4452
470p,470p,10,100k,2.611k,1n,706086,94.2492,70.4452
470p,470p,10,100k,2.611k,1.5n,699316,92.8566,70.4452
470p,470p,10,100k,2.611k,2.2n,679930,91.868,70.4452
470p,470p,10,100k,2.611k,2.7n,663133,91.67,70.4452
470p,470p,10,100k,2.611k,3.3n,642747,91.7745,70.4452
470p,470p,10,100k,2.611k,4.7n,600627,92.6864,70.4452
470p,470p,10,10k,1m,1f,690583,99.1284,70.2775
470p,470p,10,10k,1m,470p,701827,96.9755,70.2775
470p,470p,10,10k,1m,1n,704686,94.9015,70.2776
470p,470p,10,10k,1m,1.5n,698093,93.5129,70.2776
470p,470p,10,10k,1m,2.2n,679056,92.5056,70.2776
470p,470p,10,10k,1m,2.7n,662489,92.2865,70.2777
470p,470p,10,10k,1m,3.3n,642327,92.3641,70.2777
470p,470p,10,10k,1m,4.7n,600521,93.2215,70.2778
470p,470p,10,10k,2.611k,1f,690339,98.5734,70.2775
470p,470p,10,10k,2.611k,470p,701564,96.4129,70.2775
470p,470p,10,10k,2.611k,1n,704420,94.3375,70.2776
470p,470p,10,10k,2.611k,1.5n,697838,92.9544,70.2776
470p,470p,10,10k,2.611k,2.2n,678831,91.9616,70.2776
470p,470p,10,10k,2.611k,2.7n,662286,91.755,70.2777
470p,470p,10,10k,2.611k,3.3n,642147,91.8478,70.2777
470p,470p,10,10k,2.611k,4.7n,600377,92.7371,70.2778
560p,470p,0,100k,1m,1f,918750,66.1129,81.4173
560p,470p,0,100k,1m,470p,934722,63.2964,81.4173
560p,470p,0,100k,1m,1n,937384,60.359,81.4173
560p,470p,0,100k,1m,1.5n,926378,58.3136,81.4173
560p,470p,0,100k,1m,2.2n,900433,56.7088,81.4173
560p,470p,0,100k,1m,2.7n,880598,56.2104,81.4173
560p,470p,0,100k,1m,3.3n,858577,56.0394,81.4173
560p,470p,0,100k,1m,4.7n,818215,56.4929,81.4173
560p,470p,0,100k,2.611k,1f,918410,65.3688,81.4173
560p,470p,0,100k,2.611k,470p,934350,62.5413,81.4173
560p,470p,0,100k,2.611k,1n,937013,59.6032,81.4173
560p,470p,0,100k,2.611k,1.5n,926036,57.5667,81.4173
560p,470p,0,100k,2.611k,2.2n,900135,55.9821,81.4173
560p,470p,0,100k,2.611k,2.7n,880327,55.4988,81.4173
560p,470p,0,100k,2.611k,3.3n,858331,55.3447,81.4173
560p,470p,0,100k,2.611k,4.7n,818007,55.8295,81.4173
560p,470p,0,10k,1m,1f,917500,66.1021,81.2287
560p,470p,0,10k,1m,470p,933230,63.3195,81.2287
560p,470p,0,10k,1m,1n,935951,60.4136,81.2288
560p,470p,0,10k,1m,1.5n,925237,58.3809,81.2288
560p,470p,0,10k,1m,2.2n,899714,56.775,81.2288
560p,470p,0,10k,1m,2.7n,880112,56.2699,81.2289
560p,470p,0,10k,1m,3.3n,858286,56.09,81.2289
560p,470p,0,10k,1m,4.7n,818157,56.5262,81.229
560p,470p,0,10k,2.611k,1f,917162,65.359,81.2287
560p,470p,0,10k,2.611k,470p,932870,62.5652,81.2287
560p,470p,0,10k,2.611k,1n,935581,59.6589,81.2288
560p,470p,0,10k,2.611k,1.5n,924896,57.6349,81.2288
560p,470p,0,10k,2.611k,2.2n,899416,56.0488,81.2288
560p,470p,0,10k,2.611k,2.7n,879841,55.5587,81.2289
560p,470p,0,10k,2.611k,3.3n,858040,55.3956,81.2289
