mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.465E-10,3.465E-10,46.53,2.5k,100k,2.9n,61.5226
0,4.465E-10,3.465E-10,46.53,2.5k,100k,3.1n,61.5082
0,4.465E-10,3.465E-10,46.53,2.5k,100k,3.3n,61.522
0,4.465E-10,3.465E-10,46.53,2.5k,100k,3.5n,61.557
0,4.465E-10,3.465E-10,46.53,2.5k,100k,3.8n,61.6446
0,4.465E-10,3.465E-10,46.53,2.5k,100k,4.2n,61.8063
0,4.465E-10,3.465E-10,46.53,2.5k,100k,4.7n,62.057
0,4.465E-10,3.465E-10,46.53,2.5k,10k,2n,62.1675
0,4.465E-10,3.465E-10,46.53,2.5k,10k,2.3n,61.8482
0,4.465E-10,3.465E-10,46.53,2.5k,10k,2.5n,61.7089
0,4.465E-10,3.465E-10,46.53,2.5k,10k,2.7n,61.6193
0,4.465E-10,3.465E-10,46.53,2.5k,10k,2.9n,61.5678
0,4.465E-10,3.465E-10,46.53,2.5k,10k,3.1n,61.5511
0,4.465E-10,3.465E-10,46.53,2.5k,10k,3.3n,61.5624
0,4.465E-10,3.465E-10,46.53,2.5k,10k,3.5n,61.5951
0,4.465E-10,3.465E-10,46.53,2.5k,10k,3.8n,61.6794
0,4.465E-10,3.465E-10,46.53,2.5k,10k,4.2n,61.8372
0,4.465E-10,3.465E-10,46.53,2.5k,10k,4.7n,62.0835
0,4.465E-10,3.465E-10,46.53,2.611k,100k,2n,62.0838
0,4.465E-10,3.465E-10,46.53,2.611k,100k,2.3n,61.7677
0,4.465E-10,3.465E-10,46.53,2.611k,100k,2.5n,61.6309
0,4.465E-10,3.465E-10,46.53,2.611k,100k,2.7n,61.5439
0,4.465E-10,3.465E-10,46.53,2.611k,100k,2.9n,61.495
0,4.465E-10,3.465E-10,46.53,2.611k,100k,3.1n,61.4809
0,4.465E-10,3.465E-10,46.53,2.611k,100k,3.3n,61.4949
0,4.465E-10,3.465E-10,46.53,2.611k,100k,3.5n,61.53
0,4.465E-10,3.465E-10,46.53,2.611k,100k,3.8n,61.6179
0,4.465E-10,3.465E-10,46.53,2.611k,100k,4.2n,61.78
0,4.465E-10,3.465E-10,46.53,2.611k,100k,4.7n,62.0311
0,4.465E-10,3.465E-10,46.53,2.611k,10k,2n,62.1389
0,4.465E-10,3.465E-10,46.53,2.611k,10k,2.3n,61.8199
