mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.5k,2,47p,579441,78.3435,77.6773,10k
3db,2.5k,2,100p,580118,78.1698,77.6773,10k
3db,2.5k,2,220p,581649,77.7742,77.6773,10k
3db,2.5k,2,470p,584820,76.9398,77.6773,10k
3db,2.5k,2,1n,591506,75.1228,77.6773,10k
3db,2.5k,2,1.5n,597732,73.3493,77.6773,10k
3db,2.5k,2,2.2n,606132,70.778,77.6772,10k
3db,2.5k,2,2.7n,611824,68.8839,77.6772,10k
3db,2.5k,2,3.3n,618124,66.563,77.6772,10k
3db,2.5k,2,4.7n,629830,61.0393,77.6772,10k
3db,2.571k,1,1f,578835,78.4843,77.6773,10k
3db,2.571k,1,47p,579418,78.3324,77.6773,10k
3db,2.571k,1,100p,580043,78.1609,77.6773,10k
3db,2.571k,1,220p,581328,77.7725,77.6773,10k
3db,2.571k,1,470p,583391,76.9695,77.6773,10k
3db,2.571k,1,1n,584845,75.3576,77.6774,10k
3db,2.571k,1,1.5n,582682,74.0432,77.6774,10k
3db,2.571k,1,2.2n,575136,72.6484,77.6774,10k
3db,2.571k,1,2.7n,567854,71.9624,77.6774,10k
3db,2.571k,1,3.3n,558186,71.4294,77.6775,10k
3db,2.571k,1,4.7n,536016,71.0176,77.6776,10k
3db,2.571k,2,1f,578835,78.4843,77.6773,10k
3db,2.571k,2,47p,579436,78.3308,77.6773,10k
3db,2.571k,2,100p,580114,78.1571,77.6773,10k
3db,2.571k,2,220p,581644,77.7615,77.6773,10k
3db,2.571k,2,470p,584815,76.927,77.6773,10k
3db,2.571k,2,1n,591501,75.1099,77.6773,10k
3db,2.571k,2,1.5n,597727,73.3362,77.6773,10k
3db,2.571k,2,2.2n,606126,70.7648,77.6772,10k
3db,2.571k,2,2.7n,611818,68.8707,77.6772,10k
3db,2.571k,2,3.3n,618118,66.5496,77.6772,10k
3db,2.571k,2,4.7n,629823,61.0257,77.6772,10k
3db,2.611k,1,1f,578832,78.4771,77.6773,10k
3db,2.611k,1,47p,579415,78.3253,77.6773,10k
3db,2.611k,1,100p,580040,78.1537,77.6773,10k
3db,2.611k,1,220p,581325,77.7653,77.6773,10k
3db,2.611k,1,470p,583389,76.9623,77.6773,10k
3db,2.611k,1,1n,584843,75.3504,77.6774,10k
3db,2.611k,1,1.5n,582679,74.036,77.6774,10k
3db,2.611k,1,2.2n,575134,72.6413,77.6774,10k
3db,2.611k,1,2.7n,567852,71.9554,77.6774,10k
3db,2.611k,1,3.3n,558184,71.4225,77.6775,10k
3db,2.611k,1,4.7n,536014,71.0109,77.6776,10k
3db,2.611k,2,1f,578832,78.4771,77.6773,10k
3db,2.611k,2,47p,579434,78.3236,77.6773,10k
3db,2.611k,2,100p,580111,78.1499,77.6773,10k
3db,2.611k,2,220p,581641,77.7543,77.6773,10k
3db,2.611k,2,470p,584812,76.9198,77.6773,10k
3db,2.611k,2,1n,591498,75.1026,77.6773,10k
3db,2.611k,2,1.5n,597724,73.3289,77.6773,10k
3db,2.611k,2,2.2n,606123,70.7574,77.6772,10k
3db,2.611k,2,2.7n,611814,68.8632,77.6772,10k
3db,2.611k,2,3.3n,618114,66.5421,77.6772,10k
3db,2.611k,2,4.7n,629819,61.0181,77.6772,10k
10db,1m,1,1f,255011,105.597,70.3867,100k
10db,1m,1,47p,255071,105.543,70.3867,100k
10db,1m,1,100p,255135,105.482,70.3867,100k
10db,1m,1,220p,255266,105.344,70.3867,100k
10db,1m,1,470p,255476,105.052,70.3867,100k
10db,1m,1,1n,255642,104.425,70.3867,100k
10db,1m,1,1.5n,255452,103.832,70.3867,100k
10db,1m,1,2.2n,254644,103.014,70.3866,100k
10db,1m,1,2.7n,253715,102.45,70.3866,100k
10db,1m,1,3.3n,252268,101.805,70.3866,100k
10db,1m,1,4.7n,247950,100.466,70.3866,100k
10db,1m,2,1f,255011,105.597,70.3867,100k
10db,1m,2,47p,255072,105.543,70.3867,100k
10db,1m,2,100p,255141,105.482,70.3867,100k
10db,1m,2,220p,255295,105.345,70.3867,100k
10db,1m,2,470p,255609,105.056,70.3867,100k
10db,1m,2,1n,256247,104.441,70.3866,100k
10db,1m,2,1.5n,256813,103.855,70.3866,100k
10db,1m,2,2.2n,257563,103.025,70.3866,100k
10db,1m,2,2.7n,258058,102.427,70.3866,100k
10db,1m,2,3.3n,258598,101.704,70.3866,100k
10db,1m,2,4.7n,259617,99.9975,70.3866,100k
10db,1k,1,1f,255009,105.517,70.3866,100k
10db,1k,1,47p,255069,105.463,70.3866,100k
10db,1k,1,100p,255133,105.402,70.3866,100k
10db,1k,1,220p,255264,105.263,70.3866,100k
10db,1k,1,470p,255474,104.972,70.3866,100k
10db,1k,1,1n,255640,104.345,70.3866,100k
10db,1k,1,1.5n,255450,103.752,70.3866,100k
10db,1k,1,2.2n,254642,102.934,70.3866,100k
10db,1k,1,2.7n,253713,102.37,70.3866,100k
10db,1k,1,3.3n,252266,101.725,70.3866,100k
10db,1k,1,4.7n,247948,100.388,70.3866,100k
10db,1k,2,1f,255009,105.517,70.3866,100k
10db,1k,2,47p,255070,105.463,70.3866,100k
10db,1k,2,100p,255139,105.402,70.3866,100k
10db,1k,2,220p,255293,105.264,70.3866,100k
10db,1k,2,470p,255607,104.976,70.3866,100k
10db,1k,2,1n,256245,104.36,70.3866,100k
10db,1k,2,1.5n,256811,103.774,70.3866,100k
