col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
0.000302251863,0.0574861893,0.000302251863,0.312255717,0.000302251863,0.163407757,0.000302251863,0.263077182,0.000302251863,0.0135094788,0.000302251863,11.3734854,0.000302251863,3.57959634,0.000302251863,0.0,0.000302251863,0.163625321
0.000307251863,0.0595455039,0.000307251863,0.311484244,0.000307251863,0.163979957,0.000307251863,0.262530581,0.000307251863,0.0143283551,0.000307251863,11.2484541,0.000307251863,3.53917908,0.000307251863,0.0,0.000307251863,0.164195822
0.000312251863,0.0617796214,0.000312251863,0.310635703,0.000312251863,0.164601919,0.000312251863,0.261935949,0.000312251863,0.0152195762,0.000312251863,11.1123164,0.000312251863,3.49525619,0.000312251863,0.0,0.000312251863,0.164816173
0.000317251863,0.0641842191,0.000317251863,0.309709065,0.000317251863,0.165273109,0.000317251863,0.261294035,0.000317251863,0.0161821468,0.000317251863,10.9652063,0.000317251863,3.4478711,0.000317251863,0.0,0.000317251863,0.165485707
0.000322251863,0.0667546291,0.000322251863,0.308702873,0.000322251863,0.165992685,0.000322251863,0.26060522,0.000322251863,0.0172149766,0.000322251863,10.807269,0.000322251863,3.39707049,0.000322251863,0.0,0.000322251863,0.166203718
0.000327251863,0.0694859219,0.000327251863,0.307615991,0.000327251863,0.166760008,0.000327251863,0.259870335,0.000327251863,0.018316924,0.000327251863,10.6386599,0.000327251863,3.34290455,0.000327251863,0.0,0.000327251863,0.166969438
0.000332251863,0.0723728473,0.000332251863,0.306446872,0.000332251863,0.167574138,0.000332251863,0.259089854,0.000332251863,0.0194867528,0.000332251863,10.4595456,0.000332251863,3.28542665,0.000332251863,0.0,0.000332251863,0.167782057
0.000337251863,0.075409927,0.000337251863,0.305194309,0.000337251863,0.168434334,0.000337251863,0.258264686,0.000337251863,0.0207231821,0.000337251863,10.2701023,0.000337251863,3.22469356,0.000337251863,0.0,0.000337251863,0.168640712
0.000342251863,0.0785913892,0.000342251863,0.303856711,0.000342251863,0.169339562,0.000342251863,0.257395397,0.000342251863,0.0220248368,0.000342251863,10.0705171,0.000342251863,3.16076516,0.000342251863,0.0,0.000342251863,0.169544494
0.000347251863,0.0819112703,0.000347251863,0.302432844,0.000347251863,0.170288986,0.000347251863,0.256482974,0.000347251863,0.0233903035,0.000347251863,9.86098656,0.000347251863,3.09370457,0.000347251863,0.0,0.000347251863,0.170492449
0.000352251863,0.0853633427,0.000352251863,0.300921118,0.000352251863,0.171281481,0.000352251863,0.25552807,0.000352251863,0.0248180754,0.000352251863,9.64171756,0.000352251863,3.02357791,0.000352251863,0.0,0.000352251863,0.171483571
0.000357251863,0.0889412266,0.000357251863,0.299320325,0.000357251863,0.172316119,0.000357251863,0.254531748,0.000357251863,0.0263066151,0.000357251863,9.41292596,0.000357251863,2.95045442,0.000357251863,0.0,0.000357251863,0.172516821
0.000362251863,0.0926383089,0.000362251863,0.297628923,0.000362251863,0.173391689,0.000362251863,0.253494749,0.000362251863,0.0278542921,0.000362251863,9.17483774,0.000362251863,2.87440622,0.000362251863,0.0,0.000362251863,0.173591103
0.000367251863,0.0964478664,0.000367251863,0.295845778,0.000367251863,0.174507179,0.000367251863,0.252418207,0.000367251863,0.0294594528,0.000367251863,8.92768732,0.000367251863,2.79550837,0.000367251863,0.0,0.000367251863,0.174705295
0.000372251863,0.100362975,0.000372251863,0.293969452,0.000372251863,0.175661298,0.000372251863,0.251302947,0.000372251863,0.0311203516,0.000372251863,8.6717188,0.000372251863,2.7138387,0.000372251863,0.0,0.000372251863,0.175858218
0.000377251863,0.104376642,0.000377251863,0.291998935,0.000377251863,0.176852953,0.000377251863,0.250150173,0.000377251863,0.0328352279,0.000377251863,8.40718426,0.000377251863,2.62947783,0.000377251863,0.0,0.000377251863,0.177048673
0.000382251863,0.10848171,0.000382251863,0.289932946,0.000382251863,0.178080777,0.000382251863,0.248960792,0.000382251863,0.0346022297,0.000382251863,8.13434497,0.000382251863,2.54250897,0.000382251863,0.0,0.000382251863,0.178275404
0.000387251863,0.112670997,0.000387251863,0.28777065,0.000387251863,0.179343604,0.000387251863,0.247736075,0.000387251863,0.0364194984,0.000387251863,7.85346966,0.000387251863,2.45301796,0.000387251863,0.0,0.000387251863,0.17953714
0.000392251863,0.116937186,0.000392251863,0.285510975,0.000392251863,0.180639999,0.000392251863,0.246477005,0.000392251863,0.0382850847,0.000392251863,7.56483574,0.000392251863,2.36109311,0.000392251863,0.0,0.000392251863,0.180832552
0.000397251863,0.121272985,0.000397251863,0.283153317,0.000397251863,0.181968729,0.000397251863,0.245184919,0.000397251863,0.040197042,0.000397251863,7.26872754,0.000397251863,2.26682512,0.000397251863,0.0,0.000397251863,0.182160306
0.000402251863,0.125670998,0.000402251863,0.280696864,0.000402251863,0.183328294,0.000402251863,0.243860873,0.000402251863,0.0421533331,0.000402251863,6.96543754,0.000402251863,2.17030703,0.000402251863,0.0,0.000402251863,0.183519007
