c124,c137,rsep,rld,ccable,fcross_hz,pm_deg,tdb_20k
560p,100p,68,50k,2.7n,786343,64.9022,32.2171
560p,100p,68,50k,3.3n,771920,65.1094,32.2157
560p,100p,68,50k,4.7n,748476,65.8648,32.2124
560p,150p,47,10k,1f,845868,70.1807,32.2126
560p,150p,47,10k,470p,850462,68.0987,32.2119
560p,150p,47,10k,1n,845807,66.0581,32.2111
560p,150p,47,10k,1.5n,834069,64.6386,32.2103
560p,150p,47,10k,2.2n,812401,63.4624,32.2092
560p,150p,47,10k,2.7n,796523,63.0622,32.2082
560p,150p,47,10k,3.3n,778824,62.9005,32.2071
560p,150p,47,10k,4.7n,745744,63.2309,32.2041
560p,150p,47,50k,1f,846845,70.1766,32.2217
560p,150p,47,50k,470p,851489,68.0739,32.221
560p,150p,47,50k,1n,846724,66.016,32.2202
560p,150p,47,50k,1.5n,834808,64.5889,32.2194
560p,150p,47,50k,2.2n,812861,63.4131,32.2182
560p,150p,47,50k,2.7n,796840,63.0165,32.2173
560p,150p,47,50k,3.3n,779008,62.8605,32.2161
560p,150p,47,50k,4.7n,745763,63.2032,32.2132
560p,150p,56,10k,1f,845869,70.1807,32.2126
560p,150p,56,10k,470p,849748,68.1206,32.2119
560p,150p,56,10k,1n,843036,66.2005,32.2111
560p,150p,56,10k,1.5n,829444,64.9868,32.2103
560p,150p,56,10k,2.2n,806849,64.1373,32.2091
560p,150p,56,10k,2.7n,791355,63.9449,32.2082
560p,150p,56,10k,3.3n,774926,63.9802,32.2069
560p,150p,56,10k,4.7n,746164,64.5669,32.2038
560p,150p,56,50k,1f,846845,70.1766,32.2217
560p,150p,56,50k,470p,850756,68.0934,32.221
560p,150p,56,50k,1n,843898,66.1559,32.2202
560p,150p,56,50k,1.5n,830072,64.9371,32.2194
560p,150p,56,50k,2.2n,807200,64.091,32.2182
560p,150p,56,50k,2.7n,791564,63.9041,32.2172
560p,150p,56,50k,3.3n,775023,63.946,32.216
560p,150p,56,50k,4.7n,746138,64.5453,32.2128
560p,150p,68,10k,1f,845871,70.1807,32.2126
560p,150p,68,10k,470p,848816,68.1522,32.2119
560p,150p,68,10k,1n,839668,66.3984,32.2111
560p,150p,68,10k,1.5n,824399,65.4393,32.2103
560p,150p,68,10k,2.2n,801658,64.9487,32.209
560p,150p,68,10k,2.7n,787319,64.9554,32.208
560p,150p,68,10k,3.3n,772923,65.1581,32.2067
560p,150p,68,10k,4.7n,749495,65.9044,32.2034
560p,150p,68,50k,1f,846845,70.1766,32.2217
560p,150p,68,50k,470p,849807,68.1219,32.221
560p,150p,68,50k,1n,840448,66.3515,32.2202
560p,150p,68,50k,1.5n,824908,65.3906,32.2194
560p,150p,68,50k,2.2n,801889,64.9074,32.2181
560p,150p,68,50k,2.7n,787428,64.9209,32.2171
560p,150p,68,50k,3.3n,772944,65.1308,32.2157
560p,150p,68,50k,4.7n,749438,65.8889,32.2124
560p,220p,47,10k,1f,847280,70.1482,32.2126
560p,220p,47,10k,470p,851914,68.0645,32.2119
560p,220p,47,10k,1n,847214,66.0248,32.2111
560p,220p,47,10k,1.5n,835424,64.6079,32.2103
560p,220p,47,10k,2.2n,813633,63.4381,32.2092
560p,220p,47,10k,2.7n,797688,63.0423,32.2082
560p,220p,47,10k,3.3n,779919,62.8853,32.2071
560p,220p,47,10k,4.7n,746732,63.2233,32.2041
560p,220p,47,50k,1f,848258,70.144,32.2217
560p,220p,47,50k,470p,852962,68.0391,32.221
560p,220p,47,50k,1n,848133,65.9827,32.2202
560p,220p,47,50k,1.5n,836164,64.5581,32.2194
560p,220p,47,50k,2.2n,814103,63.3886,32.2182
560p,220p,47,50k,2.7n,798005,62.9966,32.2173
560p,220p,47,50k,3.3n,780103,62.8453,32.2161
560p,220p,47,50k,4.7n,746751,63.1956,32.2132
560p,220p,56,10k,1f,847281,70.1482,32.2126
560p,220p,56,10k,470p,851177,68.0869,32.2119
560p,220p,56,10k,1n,844432,66.1679,32.2111
560p,220p,56,10k,1.5n,830750,64.9581,32.2103
560p,220p,56,10k,2.2n,808051,64.1148,32.2091
560p,220p,56,10k,2.7n,792490,63.9267,32.2082
560p,220p,56,10k,3.3n,776001,63.9661,32.2069
560p,220p,56,10k,4.7n,747177,64.5583,32.2038
560p,220p,56,50k,1f,848258,70.144,32.2217
560p,220p,56,50k,470p,852215,68.059,32.221
560p,220p,56,50k,1n,845294,66.1232,32.2202
560p,220p,56,50k,1.5n,831378,64.9085,32.2194
560p,220p,56,50k,2.2n,808401,64.0686,32.2182
560p,220p,56,50k,2.7n,792698,63.8859,32.2172
560p,220p,56,50k,3.3n,776097,63.9319,32.216
560p,220p,56,50k,4.7n,747150,64.5367,32.2128
560p,220p,68,10k,1f,847283,70.1482,32.2126
560p,220p,68,10k,470p,850240,68.1187,32.2119
560p,220p,68,10k,1n,841051,66.3666,32.2111
560p,220p,68,10k,1.5n,825691,65.412,32.2103
560p,220p,68,10k,2.2n,802855,64.9275,32.209
560p,220p,68,10k,2.7n,788459,64.9379,32.208
560p,220p,68,10k,3.3n,774013,65.1438,32.2067
560p,220p,68,10k,4.7n,750538,65.894,32.2034
560p,220p,68,50k,1f,848258,70.144,32.2217
560p,220p,68,50k,470p,851234,68.0882,32.221
560p,220p,68,50k,1n,841831,66.3196,32.2202
560p,220p,68,50k,1.5n,826200,65.3633,32.2194
560p,220p,68,50k,2.2n,803086,64.8862,32.2181
560p,220p,68,50k,2.7n,788567,64.9034,32.2171
560p,220p,68,50k,3.3n,774034,65.1167,32.2157
560p,220p,68,50k,4.7n,750481,65.8786,32.2124
560p,330p,47,10k,1f,848440,70.096,32.2126
560p,330p,47,10k,470p,853134,68.0102,32.2119
560p,330p,47,10k,1n,848399,65.9712,32.2111
560p,330p,47,10k,1.5n,836584,64.556,32.2103
560p,330p,47,10k,2.2n,814720,63.3908,32.2092
560p,330p,47,10k,2.7n,798723,62.9986,32.2082
560p,330p,47,10k,3.3n,780906,62.8455,32.2071
560p,330p,47,10k,4.7n,747645,63.19,32.2041
560p,330p,47,50k,1f,849418,70.0917,32.2217
560p,330p,47,50k,470p,854182,67.9848,32.221
