c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
560p,100p,82,0.1,1m,1f,265929,93.0692,22.2093
560p,100p,82,0.1,1m,470p,265972,92.4775,22.2086
560p,100p,82,0.1,1m,1n,265542,91.8203,22.2078
560p,100p,82,0.1,1m,1.5n,264715,91.2322,22.2069
560p,100p,82,0.1,1m,2.2n,263001,90.4925,22.2055
560p,100p,82,0.1,1m,2.7n,261526,90.0365,22.2045
560p,100p,82,0.1,1m,3.3n,259569,89.5738,22.2031
560p,100p,82,0.1,1m,4.7n,254816,88.8254,22.1995
560p,100p,82,0.1,1k,1f,265928,92.9953,22.2093
560p,100p,82,0.1,1k,470p,265971,92.4036,22.2086
560p,100p,82,0.1,1k,1n,265542,91.7465,22.2078
560p,100p,82,0.1,1k,1.5n,264714,91.1586,22.2069
560p,100p,82,0.1,1k,2.2n,263000,90.4194,22.2055
560p,100p,82,0.1,1k,2.7n,261526,89.9638,22.2045
560p,100p,82,0.1,1k,3.3n,259569,89.5016,22.2031
560p,100p,82,0.1,1k,4.7n,254815,88.7546,22.1995
560p,100p,82,0.1,2.5k,1f,265925,92.8847,22.2093
560p,100p,82,0.1,2.5k,470p,265968,92.293,22.2086
560p,100p,82,0.1,2.5k,1n,265539,91.636,22.2078
560p,100p,82,0.1,2.5k,1.5n,264712,91.0485,22.2069
560p,100p,82,0.1,2.5k,2.2n,262998,90.31,22.2055
560p,100p,82,0.1,2.5k,2.7n,261523,89.855,22.2045
560p,100p,82,0.1,2.5k,3.3n,259566,89.3937,22.2031
560p,100p,82,0.1,2.5k,4.7n,254813,88.6486,22.1995
680p,47p,68,1g,1m,1f,672622,66.5221,30.5432
680p,47p,68,1g,1m,470p,674061,64.9225,30.5426
680p,47p,68,1g,1m,1n,669629,63.445,30.5419
680p,47p,68,1g,1m,1.5n,661389,62.5015,30.5412
680p,47p,68,1g,1m,2.2n,647587,61.8355,30.5401
680p,47p,68,1g,1m,2.7n,637958,61.6917,30.5392
680p,47p,68,1g,1m,3.3n,627539,61.7415,30.5381
680p,47p,68,1g,1m,4.7n,608964,62.2838,30.535
680p,47p,68,1g,1k,1f,672611,66.3352,30.5432
680p,47p,68,1g,1k,470p,674049,64.7352,30.5426
680p,47p,68,1g,1k,1n,669618,63.2589,30.5419
680p,47p,68,1g,1k,1.5n,661379,62.3177,30.5412
680p,47p,68,1g,1k,2.2n,647577,61.6555,30.5401
680p,47p,68,1g,1k,2.7n,637949,61.5145,30.5392
680p,47p,68,1g,1k,3.3n,627531,61.5671,30.5381
680p,47p,68,1g,1k,4.7n,608956,62.1145,30.535
680p,47p,68,1g,2.5k,1f,672569,66.0563,30.5432
680p,47p,68,1g,2.5k,470p,674007,64.4559,30.5426
680p,47p,68,1g,2.5k,1n,669578,62.9816,30.5419
680p,47p,68,1g,2.5k,1.5n,661340,62.0437,30.5412
680p,47p,68,1g,2.5k,2.2n,647542,61.3872,30.5401
680p,47p,68,1g,2.5k,2.7n,637916,61.25,30.5392
680p,47p,68,1g,2.5k,3.3n,627500,61.3068,30.5381
680p,47p,68,1g,2.5k,4.7n,608928,61.8619,30.535
680p,47p,68,0.1,1m,1f,214125,87.6329,20.5293
680p,47p,68,0.1,1m,470p,214160,87.1569,20.5287
680p,47p,68,0.1,1m,1n,213996,86.6275,20.528
680p,47p,68,0.1,1m,1.5n,213654,86.1438,20.5273
680p,47p,68,0.1,1m,2.2n,212907,85.506,20.5262
680p,47p,68,0.1,1m,2.7n,212205,85.0863,20.5253
680p,47p,68,0.1,1m,3.3n,211212,84.6279,20.5242
680p,47p,68,0.1,1m,4.7n,208484,83.7613,20.5212
680p,47p,68,0.1,1k,1f,214125,87.5733,20.5293
680p,47p,68,0.1,1k,470p,214160,87.0974,20.5287
680p,47p,68,0.1,1k,1n,213996,86.5681,20.528
680p,47p,68,0.1,1k,1.5n,213654,86.0844,20.5273
680p,47p,68,0.1,1k,2.2n,212907,85.4468,20.5262
680p,47p,68,0.1,1k,2.7n,212205,85.0273,20.5253
680p,47p,68,0.1,1k,3.3n,211212,84.5692,20.5242
680p,47p,68,0.1,1k,4.7n,208484,83.7034,20.5212
680p,47p,68,0.1,2.5k,1f,214123,87.4843,20.5293
680p,47p,68,0.1,2.5k,470p,214159,87.0084,20.5287
680p,47p,68,0.1,2.5k,1n,213994,86.4791,20.528
680p,47p,68,0.1,2.5k,1.5n,213653,85.9956,20.5273
680p,47p,68,0.1,2.5k,2.2n,212906,85.3583,20.5262
