k,c124,c137,riso,rsrc,rload,ccable,pm_deg
2,4.935E-10,3.465E-10,47.47,2k,10k,2.3n,62.0574
2,4.935E-10,3.465E-10,47.47,2k,10k,2.6n,61.867
2,4.935E-10,3.465E-10,47.47,2k,10k,2.9n,61.7729
2,4.935E-10,3.465E-10,47.47,2k,10k,3.2n,61.7529
2,4.935E-10,3.465E-10,47.47,2k,10k,3.5n,61.789
2,4.935E-10,3.465E-10,47.47,2k,10k,3.8n,61.8675
2,4.935E-10,3.465E-10,47.47,2k,10k,4.2n,62.0182
2,4.935E-10,3.465E-10,47.47,2k,10k,4.7n,62.2561
2,4.935E-10,3.465E-10,47.47,2.5k,100k,2n,62.195
2,4.935E-10,3.465E-10,47.47,2.5k,100k,2.3n,61.8835
2,4.935E-10,3.465E-10,47.47,2.5k,100k,2.6n,61.6979
2,4.935E-10,3.465E-10,47.47,2.5k,100k,2.9n,61.6087
2,4.935E-10,3.465E-10,47.47,2.5k,100k,3.2n,61.5936
2,4.935E-10,3.465E-10,47.47,2.5k,100k,3.5n,61.6344
2,4.935E-10,3.465E-10,47.47,2.5k,100k,3.8n,61.7173
2,4.935E-10,3.465E-10,47.47,2.5k,100k,4.2n,61.8734
2,4.935E-10,3.465E-10,47.47,2.5k,100k,4.7n,62.1173
2,4.935E-10,3.465E-10,47.47,2.5k,10k,2n,62.2508
2,4.935E-10,3.465E-10,47.47,2.5k,10k,2.3n,61.9369
2,4.935E-10,3.465E-10,47.47,2.5k,10k,2.6n,61.748
2,4.935E-10,3.465E-10,47.47,2.5k,10k,2.9n,61.6553
2,4.935E-10,3.465E-10,47.47,2.5k,10k,3.2n,61.6366
2,4.935E-10,3.465E-10,47.47,2.5k,10k,3.5n,61.6739
2,4.935E-10,3.465E-10,47.47,2.5k,10k,3.8n,61.7535
2,4.935E-10,3.465E-10,47.47,2.5k,10k,4.2n,61.9055
2,4.935E-10,3.465E-10,47.47,2.5k,10k,4.7n,62.1449
3,4.465E-10,3.135E-10,55.44,2k,100k,2n,62.1115
3,4.465E-10,3.135E-10,55.44,2k,100k,2.3n,61.9876
3,4.465E-10,3.135E-10,55.44,2k,100k,2.6n,61.9717
