mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.571k,1,220p,619112,78.0185,77.887,100k
3db,2.571k,1,470p,621582,77.1616,77.887,100k
3db,2.571k,1,1n,623248,75.4128,77.887,100k
3db,2.571k,1,1.5n,620532,73.9658,77.887,100k
3db,2.571k,1,2.2n,611580,72.4064,77.887,100k
3db,2.571k,1,2.7n,603081,71.6284,77.887,100k
3db,2.571k,1,3.3n,592186,70.9977,77.8869,100k
3db,2.571k,1,4.7n,568026,70.4066,77.8869,100k
3db,2.571k,2,1f,616131,78.7677,77.887,100k
3db,2.571k,2,47p,616835,78.6088,77.887,100k
3db,2.571k,2,100p,617642,78.4285,77.887,100k
3db,2.571k,2,220p,619467,78.0171,77.887,100k
3db,2.571k,2,470p,623258,77.1471,77.887,100k
3db,2.571k,2,1n,631213,75.2436,77.8869,100k
3db,2.571k,2,1.5n,638756,73.3663,77.8869,100k
3db,2.571k,2,2.2n,648966,70.619,77.8869,100k
3db,2.571k,2,2.7n,655943,68.5745,77.8869,100k
3db,2.571k,2,3.3n,663704,66.0472,77.8869,100k
3db,2.571k,2,4.7n,677912,59.9692,77.8869,100k
3db,2.611k,1,1f,616128,78.76,77.887,100k
3db,2.611k,1,47p,616815,78.6013,77.887,100k
3db,2.611k,1,100p,617566,78.4211,77.887,100k
3db,2.611k,1,220p,619109,78.0108,77.887,100k
3db,2.611k,1,470p,621578,77.1539,77.887,100k
3db,2.611k,1,1n,623244,75.4051,77.887,100k
3db,2.611k,1,1.5n,620529,73.9581,77.887,100k
3db,2.611k,1,2.2n,611577,72.3989,77.887,100k
3db,2.611k,1,2.7n,603078,71.6209,77.8869,100k
3db,2.611k,1,3.3n,592183,70.9904,77.8869,100k
3db,2.611k,1,4.7n,568024,70.3996,77.8869,100k
3db,2.611k,2,1f,616128,78.76,77.887,100k
3db,2.611k,2,47p,616832,78.6012,77.887,100k
3db,2.611k,2,100p,617639,78.4208,77.887,100k
3db,2.611k,2,220p,619464,78.0095,77.887,100k
3db,2.611k,2,470p,623255,77.1394,77.887,100k
3db,2.611k,2,1n,631210,75.2358,77.8869,100k
3db,2.611k,2,1.5n,638752,73.3584,77.8869,100k
3db,2.611k,2,2.2n,648962,70.6111,77.8869,100k
3db,2.611k,2,2.7n,655939,68.5664,77.8869,100k
3db,2.611k,2,3.3n,663699,66.0391,77.8869,100k
3db,2.611k,2,4.7n,677908,59.961,77.8869,100k
3db,1m,1,1f,615383,79.2569,77.7075,10k
3db,1m,1,47p,616055,79.1007,77.7075,10k
3db,1m,1,100p,616782,78.9236,77.7075,10k
3db,1m,1,220p,618305,78.519,77.7075,10k
3db,1m,1,470p,620747,77.6737,77.7076,10k
3db,1m,1,1n,622417,75.9451,77.7076,10k
3db,1m,1,1.5n,619774,74.5094,77.7076,10k
3db,1m,1,2.2n,610999,72.9519,77.7077,10k
3db,1m,1,2.7n,602620,72.1688,77.7077,10k
3db,1m,1,3.3n,591864,71.5276,77.7077,10k
3db,1m,1,4.7n,567921,70.9078,77.7078,10k
3db,1m,2,1f,615383,79.2569,77.7075,10k
3db,1m,2,47p,616077,79.0992,77.7075,10k
3db,1m,2,100p,616866,78.9205,77.7075,10k
3db,1m,2,220p,618683,78.5117,77.7075,10k
3db,1m,2,470p,622455,77.6469,77.7075,10k
3db,1m,2,1n,630363,75.7553,77.7075,10k
3db,1m,2,1.5n,637848,73.8904,77.7075,10k
3db,1m,2,2.2n,647972,71.1619,77.7075,10k
3db,1m,2,2.7n,654909,69.1301,77.7075,10k
3db,1m,2,3.3n,662587,66.6207,77.7075,10k
3db,1m,2,4.7n,676673,60.5818,77.7074,10k
3db,1k,1,1f,615359,79.0636,77.7075,10k
3db,1k,1,47p,616032,78.9072,77.7075,10k
3db,1k,1,100p,616758,78.7299,77.7075,10k
3db,1k,1,220p,618281,78.3249,77.7075,10k
3db,1k,1,470p,620723,77.4789,77.7076,10k
3db,1k,1,1n,622392,75.7498,77.7076,10k
3db,1k,1,1.5n,619750,74.3149,77.7076,10k
3db,1k,1,2.2n,610977,72.7602,77.7077,10k
3db,1k,1,2.7n,602600,71.9797,77.7077,10k
3db,1k,1,3.3n,591845,71.3419,77.7077,10k
3db,1k,1,4.7n,567905,70.7295,77.7078,10k
3db,1k,2,1f,615359,79.0636,77.7075,10k
3db,1k,2,47p,616053,78.9058,77.7075,10k
3db,1k,2,100p,616842,78.7268,77.7075,10k
3db,1k,2,220p,618658,78.3174,77.7075,10k
3db,1k,2,470p,622430,77.4515,77.7075,10k
3db,1k,2,1n,630337,75.5575,77.7075,10k
3db,1k,2,1.5n,637821,73.6905,77.7075,10k
3db,1k,2,2.2n,647942,70.9589,77.7075,10k
3db,1k,2,2.7n,654877,68.9251,77.7075,10k
3db,1k,2,3.3n,662554,66.4136,77.7075,10k
3db,1k,2,4.7n,676637,60.3707,77.7074,10k
3db,2.5k,1,1f,615277,78.7758,77.7075,10k
3db,2.5k,1,47p,615950,78.6191,77.7075,10k
3db,2.5k,1,100p,616673,78.4415,77.7075,10k
3db,2.5k,1,220p,618195,78.0359,77.7075,10k
3db,2.5k,1,470p,620636,77.1889,77.7076,10k
3db,2.5k,1,1n,622305,75.4594,77.7076,10k
3db,2.5k,1,1.5n,619664,74.0259,77.7076,10k
3db,2.5k,1,2.2n,610899,72.4752,77.7077,10k
3db,2.5k,1,2.7n,602526,71.6985,77.7077,10k
3db,2.5k,1,3.3n,591777,71.0656,77.7077,10k
3db,2.5k,1,4.7n,567848,70.464,77.7078,10k
3db,2.5k,2,1f,615277,78.7758,77.7075,10k
3db,2.5k,2,47p,615971,78.6176,77.7075,10k
3db,2.5k,2,100p,616757,78.4384,77.7075,10k
3db,2.5k,2,220p,618572,78.0283,77.7075,10k
3db,2.5k,2,470p,622342,77.1607,77.7075,10k
3db,2.5k,2,1n,630245,75.2634,77.7075,10k
3db,2.5k,2,1.5n,637722,73.3934,77.7075,10k
3db,2.5k,2,2.2n,647834,70.6579,77.7075,10k
3db,2.5k,2,2.7n,654765,68.6214,77.7075,10k
3db,2.5k,2,3.3n,662433,66.1072,77.7075,10k
3db,2.5k,2,4.7n,676505,60.0598,77.7074,10k
3db,2.571k,1,1f,615272,78.7622,77.7075,10k
3db,2.571k,1,47p,615944,78.6055,77.7075,10k
3db,2.571k,1,100p,616667,78.428,77.7075,10k
3db,2.571k,1,220p,618190,78.0223,77.7075,10k
3db,2.571k,1,470p,620630,77.1752,77.7076,10k
3db,2.571k,1,1n,622299,75.4457,77.7076,10k
3db,2.571k,1,1.5n,619659,74.0122,77.7076,10k
3db,2.571k,1,2.2n,610894,72.4617,77.7077,10k
3db,2.571k,1,2.7n,602522,71.6853,77.7077,10k
3db,2.571k,1,3.3n,591773,71.0525,77.7077,10k
3db,2.571k,1,4.7n,567845,70.4515,77.7078,10k
3db,2.571k,2,1f,615272,78.7622,77.7075,10k
3db,2.571k,2,47p,615966,78.6041,77.7075,10k
3db,2.571k,2,100p,616752,78.4248,77.7075,10k
3db,2.571k,2,220p,618567,78.0146,77.7075,10k
3db,2.571k,2,470p,622336,77.1471,77.7075,10k
3db,2.571k,2,1n,630239,75.2496,77.7075,10k
3db,2.571k,2,1.5n,637715,73.3794,77.7075,10k
3db,2.571k,2,2.2n,647827,70.6437,77.7075,10k
