col0,col1,col2,col3,col4,col5,col6,col7
0.00019928,0.474824415,0.00019928,1.43827638,0.00019928,1.48889316,0.00019928,2.43651373
0.00020028,0.475799348,0.00020028,1.44139257,0.00020028,1.4920026,0.00020028,2.43964841
0.00020128,0.476755497,0.00020128,1.4444498,0.00020128,1.49505312,0.00020128,2.44272379
0.00020228,0.477692825,0.00020228,1.44744794,0.00020228,1.49804459,0.00020228,2.44573972
0.00020328,0.478611294,0.00020328,1.45038688,0.00020328,1.50097689,0.00020328,2.4486961
0.00020428,0.479510869,0.00020428,1.4532665,0.00020428,1.5038499,0.00020428,2.45159281
0.00020528,0.480391513,0.00020528,1.4560867,0.00020528,1.50666351,0.00020528,2.45442973
0.00020628,0.481253192,0.00020628,1.45884735,0.00020628,1.50941761,0.00020628,2.45720675
0.00020728,0.482095873,0.00020728,1.46154836,0.00020728,1.5121121,0.00020728,2.45992377
0.00020828,0.48291952,0.00020828,1.4641896,0.00020828,1.51474685,0.00020828,2.46258066
0.00020928,0.483724104,0.00020928,1.46677098,0.00020928,1.51732179,0.00020928,2.46517734
0.00021028,0.48450959,0.00021028,1.4692924,0.00021028,1.51983678,0.00021028,2.46771369
0.00021128,0.485275949,0.00021128,1.47175376,0.00021128,1.52229176,0.00021128,2.47018962
0.00021228,0.48602315,0.00021228,1.47415495,0.00021228,1.5246866,0.00021228,2.47260503
0.00021328,0.486751164,0.00021328,1.47649589,0.00021328,1.52702122,0.00021328,2.47495982
0.00021428,0.487459961,0.00021428,1.47877648,0.00021428,1.52929552,0.00021428,2.4772539
0.00021528,0.488149515,0.00021528,1.48099663,0.00021528,1.53150943,0.00021528,2.47948719
0.00021628,0.488819797,0.00021628,1.48315626,0.00021628,1.53366284,0.00021628,2.48165958
0.00021728,0.489470781,0.00021728,1.48525528,0.00021728,1.53575568,0.00021728,2.483771
0.00021828,0.490102442,0.00021828,1.4872936,0.00021828,1.53778786,0.00021828,2.48582136
0.00021928,0.490714754,0.00021928,1.48927115,0.00021928,1.5397593,0.00021928,2.48781059
0.00022028,0.491307694,0.00022028,1.49118785,0.00022028,1.54166992,0.00022028,2.4897386
0.00022128,0.491881238,0.00022128,1.49304362,0.00022128,1.54351966,0.00022128,2.49160531
0.00022228,0.492435364,0.00022228,1.49483839,0.00022228,1.54530842,0.00022228,2.49341066
0.00022328,0.492970048,0.00022328,1.49657209,0.00022328,1.54703615,0.00022328,2.49515457
0.00022428,0.493485272,0.00022428,1.49824465,0.00022428,1.54870278,0.00022428,2.49683698
0.00022528,0.493981013,0.00022528,1.499856,0.00022528,1.55030824,0.00022528,2.49845781
0.00022628,0.494457253,0.00022628,1.50140608,0.00022628,1.55185246,0.00022628,2.500017
0.00022728,0.494913972,0.00022728,1.50289483,0.00022728,1.5533354,0.00022728,2.5015145
0.00022828,0.495351153,0.00022828,1.50432219,0.00022828,1.55475697,0.00022828,2.50295024
0.00022928,0.495768778,0.00022928,1.5056881,0.00022928,1.55611715,0.00022928,2.50432416
0.00023028,0.496166832,0.00023028,1.50699252,0.00023028,1.55741585,0.00023028,2.50563621
0.00023128,0.496545297,0.00023128,1.50823538,0.00023128,1.55865305,0.00023128,2.50688635
0.00023228,0.49690416,0.00023228,1.50941664,0.00023228,1.55982868,0.00023228,2.50807451
0.00023328,0.497243406,0.00023328,1.51053626,0.00023328,1.56094271,0.00023328,2.50920066
0.00023428,0.497563021,0.00023428,1.51159418,0.00023428,1.56199507,0.00023428,2.51026475
0.00023528,0.497862994,0.00023528,1.51259037,0.00023528,1.56298575,0.00023528,2.51126673
0.00023628,0.498143312,0.00023628,1.51352478,0.00023628,1.56391469,0.00023628,2.51220657
0.00023728,0.498403964,0.00023728,1.51439739,0.00023728,1.56478187,0.00023728,2.51308423
0.00023828,0.498644939,0.00023828,1.51520815,0.00023828,1.56558723,0.00023828,2.51389968
0.00023928,0.49886623,0.00023928,1.51595704,0.00023928,1.56633077,0.00023928,2.51465288
0.00024028,0.499067825,0.00024028,1.51664402,0.00024028,1.56701243,0.00024028,2.5153438
0.00024128,0.499249719,0.00024128,1.51726907,0.00024128,1.56763221,0.00024128,2.51597242
0.00024228,0.499411903,0.00024228,1.51783216,0.00024228,1.56819007,0.00024228,2.51653871
0.00024328,0.499554371,0.00024328,1.51833327,0.00024328,1.56868599,0.00024328,2.51704265
0.00024428,0.499677117,0.00024428,1.51877238,0.00024428,1.56911995,0.00024428,2.51748422
0.00024528,0.499780137,0.00024528,1.51914948,0.00024528,1.56949193,0.00024528,2.5178634
0.00024628,0.499863427,0.00024628,1.51946454,0.00024628,1.56980192,0.00024628,2.51818018
0.00024728,0.499926982,0.00024728,1.51971757,0.00024728,1.57004992,0.00024728,2.51843454
0.00024828,0.499970802,0.00024828,1.51990853,0.00024828,1.5702359,0.00024828,2.51862647
0.00024928,0.499994884,0.00024928,1.52003744,0.00024928,1.57035986,0.00024928,2.51875598
0.00025028,0.499999226,0.00025028,1.52010427,0.00025028,1.57042179,0.00025028,2.51882304
0.00025128,0.49998383,0.00025128,1.52010904,0.00025128,1.5704217,0.00025128,2.51882766
0.00025228,0.499948695,0.00025228,1.52005174,0.00025228,1.57035958,0.00025228,2.51876984
0.00025328,0.499893823,0.00025328,1.51993237,0.00025328,1.57023544,0.00025328,2.51864959
0.00025428,0.499819216,0.00025428,1.51975094,0.00025428,1.57004927,0.00025428,2.51846689
0.00025528,0.499724876,0.00025528,1.51950745,0.00025528,1.5698011,0.00025528,2.51822178
0.00025628,0.499610809,0.00025628,1.51920192,0.00025628,1.56949092,0.00025628,2.51791424
0.00025728,0.499477018,0.00025728,1.51883435,0.00025728,1.56911875,0.00025728,2.5175443
0.00025828,0.499323508,0.00025828,1.51840476,0.00025828,1.5686846,0.00025828,2.51711196
0.00025928,0.499150286,0.00025928,1.51791318,0.00025928,1.5681885,0.00025928,2.51661726
0.00026028,0.498957359,0.00026028,1.51735961,0.00026028,1.56763046,0.00026028,2.5160602
0.00026128,0.498744733,0.00026128,1.51674407,0.00026128,1.5670105,0.00026128,2.51544081
0.00026228,0.498512418,0.00026228,1.5160666,0.00026228,1.56632865,0.00026228,2.5147591
