blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
A,0,1000,3.818,1,0,0.291865,0.293068,0.0205434,0.0196123,-0.0198392,-0.0205383,0.0866841,-0.00642096,0.0853984,0.0110685,0.00148501,0.00166036,0.0098297,0.00981689,0.0631513,0.0189201,0.0185705,0.00905553,0.00905675,3.91427E-07,7.97965E-08,0.00386972,0.00374982,3.54017E-06,1.67448E-07,0.00027445,5.96885E-05,0.291863,0.291865,3.80287
B,0,1000,3.818,1,0,0.292934,0.293527,0.0201478,0.0200117,-0.0201382,-0.0202376,0.0867849,-0.00642635,0.085308,0.0110687,0.00148501,0.00166033,0.00982971,0.00981687,0.0630903,0.0189508,0.0186005,0.00905408,0.00905403,3.894E-07,7.92861E-08,0.00386948,0.0037498,7.23884E-08,0,3.92451E-05,0,0.292932,0.292934,3.78828
A,0,1000,3.818,1,1,0.457731,0.459574,0.13047,-3.06129E-06,2.44353E-06,-0.131206,0.0852537,-0.00551243,0.085412,0.0107212,0.00148464,0.00168658,0.00980288,0.0098159,0.0631508,0.0189187,0.0185723,0.0971522,0.0972495,5.81442E-06,1.56306E-06,0.00409648,0.0037498,0.101982,0.101982,0.0465816,0.0465816,0.45717,0.456875,3.80192
B,0,1000,3.818,1,1,0.299279,0.299871,0.0651086,-9.47894E-08,1.57931E-07,-0.0654828,0.0861422,-0.00598539,0.0853069,0.0109841,0.00148492,0.00166623,0.0098237,0.00981653,0.0630894,0.0189503,0.018602,0.0265065,0.026516,1.40096E-06,3.32982E-07,0.00391997,0.0037498,0.101926,0,0.0465686,0,0.299006,0.298869,3.78692
A,0,1000,3.818,1,2,0.299758,0.300892,0.065524,-9.34582E-08,5.4114E-08,-0.0659024,0.0860469,-0.00598297,0.0854,0.0109831,0.00148492,0.00166642,0.00982356,0.00981653,0.0631512,0.0189192,0.0185715,0.0267923,0.0267892,1.41917E-06,3.36724E-07,0.00392126,0.00374981,0.102013,1.67335E-07,0.0465884,5.96684E-05,0.299168,0.29968,3.80295
B,0,1000,3.818,1,2,0.292935,0.293526,0.0201478,0.0200116,-0.0201382,-0.0202376,0.0867853,-0.00642634,0.0853077,0.0110687,0.001485,0.00166033,0.00982972,0.00981686,0.0630901,0.0189509,0.0186006,0.00905409,0.00905404,3.89398E-07,7.92827E-08,0.00386949,0.0037498,7.23394E-08,0,3.92318E-05,0,0.292932,0.292935,3.78832
A,0,1000,3.818,1,3,0.300209,0.301355,0.0657671,-1.21587E-07,7.31941E-08,-0.0661492,0.0860439,-0.00598132,0.0853999,0.0109822,0.00148492,0.00166649,0.0098235,0.00981653,0.0631512,0.0189192,0.0185715,0.0269613,0.0269603,1.42925E-06,3.39379E-07,0.00392179,0.00374981,3.53776E-06,0.102012,0.000274357,0.0465883,0.29962,0.300131,3.80294
B,0,1000,3.818,1,3,0.292935,0.293526,0.0201478,0.0200116,-0.0201382,-0.0202376,0.0867854,-0.00642634,0.0853077,0.0110687,0.001485,0.00166033,0.00982972,0.00981686,0.0630901,0.0189509,0.0186006,0.00905409,0.00905404,3.89398E-07,7.92827E-08,0.00386949,0.0037498,7.23391E-08,0,3.92318E-05,0,0.292932,0.292935,3.78831
A,0,1000,3.818,1,4,0.291865,0.293069,0.0205434,0.0196123,-0.0198392,-0.0205383,0.0866841,-0.00642095,0.0853985,0.0110685,0.00148501,0.00166036,0.00982971,0.00981688,0.0631513,0.0189201,0.0185705,0.00905553,0.00905675,3.91427E-07,7.97946E-08,0.00386973,0.00374982,3.53937E-06,1.6741E-07,0.000274419,5.96818E-05,0.291862,0.291865,3.80315
B,0,1000,3.818,1,4,0.299374,0.299849,0.06514,-7.02241E-08,3.01554E-08,-0.0655132,0.0861408,-0.00598522,0.085309,0.0109841,0.00148492,0.00166625,0.00982368,0.00981653,0.0630903,0.0189499,0.0186015,0.0265263,0.0265252,1.40213E-06,3.33157E-07,0.00392011,0.0037498,0.101992,0,0.0465837,0,0.298816,0.299259,3.78824
A,0,20000,0,1,0,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.24928E-21,1.31898E-22,6.91788E-12,1.67521E-12,0.292911,0.292911,-0.0141812
B,0,20000,0,1,0,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34736E-22,0,2.23481E-12,0,0.293204,0.293204,-0.0283607
A,0,20000,0,1,1,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,3.76792E-25,3.76628E-25,8.94978E-14,8.94783E-14,0.292911,0.292911,-0.0141812
B,0,20000,0,1,1,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,1.17578E-24,0,1.58507E-13,0,0.293204,0.293204,-0.0283607
A,0,20000,0,1,2,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,4.00112E-25,1.31899E-22,9.20121E-14,1.67522E-12,0.292911,0.292911,-0.0141812
B,0,20000,0,1,2,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34737E-22,0,2.23482E-12,0,0.293204,0.293204,-0.0283607
A,0,20000,0,1,3,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.2493E-21,3.99723E-25,6.91791E-12,9.21509E-14,0.292911,0.292911,-0.0141812
B,0,20000,0,1,3,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34737E-22,0,2.23481E-12,0,0.293204,0.293204,-0.0283607
A,0,20000,0,1,4,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.24928E-21,1.31898E-22,6.91788E-12,1.67522E-12,0.292911,0.292911,-0.0141812
B,0,20000,0,1,4,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,1.17664E-24,0,1.58205E-13,0,0.293204,0.293204,-0.0283607
A,0,20000,0.4243,1,0,0.292899,0.293871,0.0201505,0.0200475,-0.0201699,-0.0202489,0.0867761,-0.00643587,0.0853913,0.0110717,0.00148501,0.0016604,0.00982965,0.00981688,0.0631473,0.0189231,0.0185717,0.00906156,0.00906283,3.8368E-07,7.57244E-08,0.00387006,0.00374983,4.37032E-08,2.06706E-09,3.04936E-05,6.63175E-06,0.292898,0.292899,0.409657
B,0,20000,0.4243,1,0,0.293201,0.29358,0.0201071,0.0200922,-0.0202005,-0.0202164,0.0868662,-0.00643605,0.0853009,0.0110716,0.00148501,0.00166036,0.00982965,0.00981687,0.0630864,0.0189537,0.0186018,0.00906197,0.00906197,3.83381E-07,7.58057E-08,0.00386988,0.00374981,8.93703E-10,0,4.36062E-06,0,0.293201,0.293201,0.395056
A,0,20000,0.4243,1,1,0.29111,0.292085,0.0291909,0.0112935,-0.0113849,-0.0293227,0.0867409,-0.00631232,0.0853916,0.0110695,0.00148501,0.00166042,0.00982944,0.00981688,0.0631473,0.018923,0.0185718,0.010027,0.0100223,4.34896E-07,8.87541E-08,0.00387187,0.00374983,0.00191015,0.00191015,0.00637507,0.00637507,0.291108,0.291108,0.409843
B,0,20000,0.4243,1,1,0.292263,0.292641,0.0246008,0.0156635,-0.0157694,-0.0247133,0.0868506,-0.00637987,0.085301,0.0110708,0.00148501,0.00166036,0.00982957,0.00981687,0.0630864,0.0189536,0.0186018,0.00930135,0.00929921,3.97287E-07,7.95824E-08,0.00387041,0.00374981,0.00190901,0,0.00637317,0,0.292262,0.292262,0.395559
