mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.571k,2,1.5n,939830,63.3257,77.9044,100k
3db,2.571k,2,2.2n,974484,57.6818,77.9044,100k
3db,2.571k,2,2.7n,998633,53.252,77.9043,100k
3db,2.571k,2,3.3n,1.02413E+06,47.6508,77.9043,100k
3db,2.571k,2,4.7n,1.05006E+06,35.3787,77.9043,100k
3db,2.611k,1,1f,871603,73.2022,77.9044,100k
3db,2.611k,1,47p,873527,72.9326,77.9044,100k
3db,2.611k,1,100p,875593,72.6264,77.9044,100k
3db,2.611k,1,220p,879831,71.9282,77.9044,100k
3db,2.611k,1,470p,886422,70.481,77.9044,100k
3db,2.611k,1,1n,889165,67.7236,77.9044,100k
3db,2.611k,1,1.5n,879373,65.8397,77.9044,100k
3db,2.611k,1,2.2n,855151,64.4169,77.9044,100k
3db,2.611k,1,2.7n,836108,64.0236,77.9044,100k
3db,2.611k,1,3.3n,814526,63.9621,77.9044,100k
3db,2.611k,1,4.7n,773974,64.6202,77.9044,100k
3db,2.611k,2,1f,871603,73.2022,77.9044,100k
3db,2.611k,2,47p,873575,72.9321,77.9044,100k
3db,2.611k,2,100p,875808,72.6248,77.9044,100k
3db,2.611k,2,220p,880904,71.9184,77.9044,100k
3db,2.611k,2,470p,891684,70.3985,77.9044,100k
3db,2.611k,2,1n,915815,66.9264,77.9044,100k
3db,2.611k,2,1.5n,939817,63.3145,77.9044,100k
3db,2.611k,2,2.2n,974469,57.6703,77.9044,100k
3db,2.611k,2,2.7n,998617,53.2404,77.9043,100k
3db,2.611k,2,3.3n,1.02411E+06,47.6392,77.9043,100k
3db,2.611k,2,4.7n,1.05004E+06,35.367,77.9043,100k
3db,1m,1,1f,870655,73.9066,77.7255,10k
3db,1m,1,47p,872548,73.6415,77.7255,10k
3db,1m,1,100p,874588,73.3404,77.7255,10k
3db,1m,1,220p,878775,72.6534,77.7255,10k
3db,1m,1,470p,885296,71.2278,77.7255,10k
3db,1m,1,1n,888085,68.5008,77.7255,10k
3db,1m,1,1.5n,878513,66.6213,77.7256,10k
3db,1m,1,2.2n,854660,65.1777,77.7256,10k
3db,1m,1,2.7n,835827,64.7626,77.7256,10k
3db,1m,1,3.3n,814424,64.6749,77.7257,10k
3db,1m,1,4.7n,774086,65.283,77.7258,10k
3db,1m,2,1f,870655,73.9066,77.7255,10k
3db,1m,2,47p,872611,73.6389,77.7255,10k
3db,1m,2,100p,874836,73.3341,77.7255,10k
3db,1m,2,220p,879908,72.6337,77.7255,10k
3db,1m,2,470p,890629,71.1269,77.7255,10k
3db,1m,2,1n,914593,67.6864,77.7254,10k
3db,1m,2,1.5n,938425,64.1084,77.7254,10k
3db,1m,2,2.2n,972819,58.5186,77.7254,10k
3db,1m,2,2.7n,996755,54.1333,77.7254,10k
3db,1m,2,3.3n,1.022E+06,48.5886,77.7254,10k
3db,1m,2,4.7n,1.0479E+06,36.3992,77.7254,10k
3db,1k,1,1f,870590,73.6347,77.7255,10k
3db,1k,1,47p,872481,73.3691,77.7255,10k
3db,1k,1,100p,874521,73.0673,77.7255,10k
3db,1k,1,220p,878706,72.3791,77.7255,10k
3db,1k,1,470p,885225,70.9517,77.7255,10k
3db,1k,1,1n,888014,68.224,77.7255,10k
3db,1k,1,1.5n,878446,66.3475,77.7256,10k
3db,1k,1,2.2n,854602,64.9112,77.7256,10k
3db,1k,1,2.7n,835774,64.5018,77.7256,10k
3db,1k,1,3.3n,814376,64.4206,77.7257,10k
3db,1k,1,4.7n,774046,65.041,77.7258,10k
3db,1k,2,1f,870590,73.6347,77.7255,10k
3db,1k,2,47p,872544,73.3664,77.7255,10k
3db,1k,2,100p,874768,73.061,77.7255,10k
3db,1k,2,220p,879839,72.359,77.7255,10k
3db,1k,2,470p,890557,70.8491,77.7255,10k
3db,1k,2,1n,914509,67.4017,77.7254,10k
3db,1k,2,1.5n,938330,63.817,77.7254,10k
3db,1k,2,2.2n,972708,58.2177,77.7254,10k
3db,1k,2,2.7n,996632,53.8261,77.7254,10k
