mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.611k,2,470p,370778,81.3964,77.5345,10k
3db,2.611k,2,1n,372467,80.3931,77.5344,10k
3db,2.611k,2,1.5n,373997,79.4351,77.5344,10k
3db,2.611k,2,2.2n,375994,78.0794,77.5344,10k
3db,2.611k,2,2.7n,377308,77.1024,77.5344,10k
3db,2.611k,2,3.3n,378749,75.9227,77.5344,10k
3db,2.611k,2,4.7n,381520,73.15,77.5343,10k
10db,1m,1,1f,153837,100.004,70.2592,100k
10db,1m,1,47p,153847,99.9719,70.2592,100k
10db,1m,1,100p,153858,99.9352,70.2592,100k
10db,1m,1,220p,153880,99.852,70.2592,100k
10db,1m,1,470p,153916,99.6779,70.2592,100k
10db,1m,1,1n,153943,99.3064,70.2592,100k
10db,1m,1,1.5n,153909,98.9543,70.2592,100k
10db,1m,1,2.2n,153765,98.4624,70.2592,100k
10db,1m,1,2.7n,153595,98.1142,70.2592,100k
10db,1m,1,3.3n,153323,97.7023,70.2592,100k
10db,1m,1,4.7n,152421,96.7802,70.2591,100k
10db,1m,2,1f,153837,100.004,70.2592,100k
10db,1m,2,47p,153847,99.9719,70.2592,100k
10db,1m,2,100p,153859,99.9352,70.2592,100k
10db,1m,2,220p,153885,99.8522,70.2592,100k
10db,1m,2,470p,153939,99.6789,70.2592,100k
10db,1m,2,1n,154046,99.3107,70.2592,100k
10db,1m,2,1.5n,154141,98.9622,70.2592,100k
10db,1m,2,2.2n,154263,98.4726,70.2591,100k
10db,1m,2,2.7n,154341,98.1218,70.2591,100k
10db,1m,2,3.3n,154427,97.6997,70.2591,100k
10db,1m,2,4.7n,154586,96.7105,70.2591,100k
10db,1k,1,1f,153836,99.956,70.2592,100k
10db,1k,1,47p,153847,99.9235,70.2592,100k
10db,1k,1,100p,153858,99.8869,70.2592,100k
10db,1k,1,220p,153880,99.8037,70.2592,100k
10db,1k,1,470p,153915,99.6295,70.2592,100k
10db,1k,1,1n,153943,99.258,70.2591,100k
10db,1k,1,1.5n,153908,98.9059,70.2591,100k
10db,1k,1,2.2n,153764,98.4141,70.2591,100k
10db,1k,1,2.7n,153595,98.0659,70.2591,100k
10db,1k,1,3.3n,153322,97.6542,70.2591,100k
10db,1k,1,4.7n,152421,96.7323,70.2591,100k
10db,1k,2,1f,153836,99.956,70.2592,100k
10db,1k,2,47p,153847,99.9235,70.2592,100k
10db,1k,2,100p,153859,99.8868,70.2592,100k
10db,1k,2,220p,153885,99.8038,70.2592,100k
10db,1k,2,470p,153938,99.6305,70.2591,100k
10db,1k,2,1n,154046,99.2623,70.2591,100k
10db,1k,2,1.5n,154141,98.9138,70.2591,100k
10db,1k,2,2.2n,154262,98.4242,70.2591,100k
10db,1k,2,2.7n,154341,98.0733,70.2591,100k
