cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
x1010012_dnmaxmax_c,x1010012_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dnmaxmax,rmai_g10t12_dnmaxmax,0.0,3,A_ins;A_rel;B2
x1010120_dnmaxmax_i,x1010120_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a10_t12a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t12_dnmaxmax,rmai_g10t12_dnmaxmax,6.5,3,A_ins;B2
x1010120_dnmaxmax_c,x1010120_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a10_t12a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax,0.0,3,A_ins;A_rel;B2
xm_dnmaxmax,xm_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,rsempre_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax,6.5,3,A_ins;A_rel;B2
rmai_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20.dat,rif_dnmaxm20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dnmaxm20,rsempre_g10t0_dnmaxm20.dat,rif_dnmaxm20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dnmaxm20,rmai_g0t0_dnmaxm20.dat,rif_dnmaxm20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dnmaxm20,rsempre_g0t0_dnmaxm20.dat,rif_dnmaxm20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dnmaxm20,rmai_g10t12_dnmaxm20.dat,rif_dnmaxm20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dnmaxm20,rsempre_g10t12_dnmaxm20.dat,rif_dnmaxm20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dnmaxm20_i,x01000_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dnmaxm20,rmai_g0t0_dnmaxm20,6.5,3,A_ins;B2
x01000_dnmaxm20_c,x01000_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20,0.0,3,A_ins;A_rel;B2
x10000_dnmaxm20_i,x10000_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20,6.5,3,A_ins;B2
x10000_dnmaxm20_c,x10000_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a0_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g0t0_dnmaxm20,rmai_g0t0_dnmaxm20,0.0,3,A_ins;A_rel;B2
x1010012_dnmaxm20_i,x1010012_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20,6.5,3,A_ins;B2
x1010012_dnmaxm20_c,x1010012_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dnmaxm20,rmai_g10t12_dnmaxm20,0.0,3,A_ins;A_rel;B2
x1010120_dnmaxm20_i,x1010120_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a10_t12a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t12_dnmaxm20,rmai_g10t12_dnmaxm20,6.5,3,A_ins;B2
x1010120_dnmaxm20_c,x1010120_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,g10a10_t12a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20,0.0,3,A_ins;A_rel;B2
xm_dnmaxm20,xm_dnmaxm20.dat,ldr_v4_td6_BB_dnmaxm20,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,rsempre_g10t0_dnmaxm20,rmai_g10t0_dnmaxm20,6.5,3,A_ins;A_rel;B2
rmai_g10t0_dpamax,rmai_g10t0_dpamax.dat,rif_dpamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dpamax,rsempre_g10t0_dpamax.dat,rif_dpamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dpamax,rmai_g0t0_dpamax.dat,rif_dpamax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dpamax,rsempre_g0t0_dpamax.dat,rif_dpamax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dpamax,rmai_g10t12_dpamax.dat,rif_dpamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dpamax,rsempre_g10t12_dpamax.dat,rif_dpamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dpamax_i,x01000_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dpamax,rmai_g0t0_dpamax,6.5,3,A_ins;B2
x01000_dpamax_c,x01000_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dpamax,rmai_g10t0_dpamax,0.0,3,A_ins;A_rel;B2
