col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0.0032831104,0.014749916,0.0032831104,-0.0143841019,0.0032831104,0.0163030614,0.0032831104,0.0146021207,0.0032831104,3.71866261
0.0032881104,0.0147485549,0.0032881104,-0.0143853147,0.0032881104,0.0162886093,0.0032881104,0.0146018141,0.0032881104,3.69216296
0.0032931104,0.0147470053,0.0032931104,-0.0143866988,0.0032931104,0.0162724144,0.0032931104,0.0146014643,0.0032931104,3.66200327
0.0032981104,0.0147452682,0.0032981104,-0.014388253,0.0032981104,0.0162544931,0.0032981104,0.0146010717,0.0032981104,3.62821327
0.0033031104,0.0147433458,0.0033031104,-0.0143899754,0.0033031104,0.0162348634,0.0033031104,0.0146006366,0.0033031104,3.59082631
0.0033081104,0.0147412395,0.0033081104,-0.0143918645,0.0033081104,0.016213545,0.0033081104,0.0146001593,0.0033081104,3.54987927
0.0033131104,0.0147389515,0.0033131104,-0.0143939182,0.0033131104,0.0161905593,0.0033131104,0.0145996402,0.0033131104,3.50541256
0.0033181104,0.0147364838,0.0033181104,-0.0143961345,0.0033181104,0.0161659294,0.0033181104,0.0145990798,0.0033181104,3.45747006
0.0033231104,0.014733839,0.0033231104,-0.0143985109,0.0033231104,0.0161396801,0.0033231104,0.0145984784,0.0033231104,3.40609907
0.0033281104,0.0147310193,0.0033281104,-0.0144010453,0.0033281104,0.0161118378,0.0033281104,0.0145978367,0.0033281104,3.35135028
0.0033331104,0.0147280277,0.0033331104,-0.0144037348,0.0033331104,0.0160824302,0.0033331104,0.0145971551,0.0033331104,3.29327772
0.0033381104,0.0147248667,0.0033381104,-0.0144065768,0.0033381104,0.0160514871,0.0033381104,0.0145964342,0.0033381104,3.23193868
0.0033431104,0.0147215397,0.0033431104,-0.0144095684,0.0033431104,0.0160190393,0.0033431104,0.0145956747,0.0033431104,3.16739371
0.0033481104,0.0147180495,0.0033481104,-0.0144127065,0.0033481104,0.0159851195,0.0033481104,0.0145948771,0.0033481104,3.09970647
0.0033531104,0.0147143998,0.0033531104,-0.0144159878,0.0033531104,0.0159497616,0.0033531104,0.0145940422,0.0033531104,3.02894378
0.0033581104,0.0147105938,0.0033581104,-0.0144194092,0.0033581104,0.0159130012,0.0033581104,0.0145931707,0.0033581104,2.95517545
0.0033631104,0.0147066354,0.0033631104,-0.014422967,0.0033631104,0.0158748748,0.0033631104,0.0145922632,0.0033631104,2.87847428
0.0033681104,0.014702528,0.0033681104,-0.0144266577,0.0033681104,0.0158354208,0.0033681104,0.0145913208,0.0033681104,2.79891596
0.0033731104,0.0146982761,0.0033731104,-0.0144304774,0.0033731104,0.0157946786,0.0033731104,0.014590344,0.0033731104,2.71657901
0.0033781104,0.0146938832,0.0033781104,-0.0144344224,0.0033781104,0.015752689,0.0033781104,0.0145893338,0.0033781104,2.63154465
0.0033831104,0.014689354,0.0033831104,-0.0144384886,0.0033831104,0.0157094939,0.0033831104,0.0145882911,0.0033831104,2.54389682
0.0033881104,0.0146846926,0.0033881104,-0.014442672,0.0033881104,0.0156651365,0.0033881104,0.0145872169,0.0033881104,2.453722
0.0033931104,0.0146799036,0.0033931104,-0.0144469681,0.0033931104,0.0156196612,0.0033931104,0.014586112,0.0033931104,2.36110919
0.0033981104,0.0146749915,0.0033981104,-0.0144513728,0.0033981104,0.0155731133,0.0033981104,0.0145849775,0.0033981104,2.26614977
0.0034031104,0.0146699613,0.0034031104,-0.0144558815,0.0034031104,0.0155255392,0.0034031104,0.0145838143,0.0034031104,2.16893745
0.0034081104,0.0146648175,0.0034081104,-0.0144604898,0.0034081104,0.0154769865,0.0034081104,0.0145826236,0.0034081104,2.06956817
0.0034131104,0.0146595655,0.0034131104,-0.0144651929,0.0034131104,0.0154275035,0.0034131104,0.0145814064,0.0034131104,1.96814
0.0034181104,0.0146542099,0.0034181104,-0.0144699862,0.0034181104,0.0153771396,0.0034181104,0.0145801638,0.0034181104,1.86475301
0.0034231104,0.0146487564,0.0034231104,-0.0144748647,0.0034231104,0.0153259448,0.0034231104,0.0145788969,0.0034231104,1.75950925
0.0034281104,0.0146432099,0.0034281104,-0.0144798237,0.0034281104,0.0152739703,0.0034281104,0.0145776071,0.0034281104,1.65251257
0.0034331104,0.0146375761,0.0034331104,-0.0144848581,0.0034331104,0.0152212675,0.0034331104,0.0145762953,0.0034331104,1.54386858
0.0034381104,0.0146318601,0.0034381104,-0.0144899629,0.0034381104,0.0151678892,0.0034381104,0.0145749629,0.0034381104,1.43368447
0.0034431104,0.014626068,0.0034431104,-0.0144951329,0.0034431104,0.0151138881,0.0034431104,0.0145736111,0.0034431104,1.32206899
0.0034481104,0.0146202049,0.0034481104,-0.0145003631,0.0034481104,0.0150593181,0.0034481104,0.0145722411,0.0034481104,1.2091323
0.0034531104,0.0146142771,0.0034531104,-0.0145056481,0.0034531104,0.0150042332,0.0034531104,0.0145708543,0.0034531104,1.09498584
0.0034581104,0.0146082898,0.0034581104,-0.0145109828,0.0034581104,0.0149486882,0.0034581104,0.014569452,0.0034581104,0.979742271
