var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_min,2.5k,1,4.7n,795453,56.1146,81.2167,10k
b_min,2.571k,1,1f,887269,65.741,81.2164,10k
b_min,2.571k,1,47p,889067,65.4853,81.2164,10k
b_min,2.571k,1,100p,890997,65.1941,81.2164,10k
b_min,2.571k,1,220p,895051,64.5229,81.2164,10k
b_min,2.571k,1,470p,901361,63.1119,81.2164,10k
b_min,2.571k,1,1n,903986,60.3361,81.2165,10k
b_min,2.571k,1,1.5n,894648,58.3353,81.2165,10k
b_min,2.571k,1,2.2n,871710,56.6663,81.2165,10k
b_min,2.571k,1,2.7n,853734,56.0882,81.2166,10k
b_min,2.571k,1,3.3n,833409,55.8223,81.2166,10k
b_min,2.571k,1,4.7n,795447,56.1021,81.2167,10k
b_min,2.611k,1,1f,887264,65.7332,81.2164,10k
b_min,2.611k,1,47p,889062,65.4775,81.2164,10k
b_min,2.611k,1,100p,890992,65.1862,81.2164,10k
b_min,2.611k,1,220p,895046,64.5151,81.2164,10k
b_min,2.611k,1,470p,901355,63.104,81.2164,10k
b_min,2.611k,1,1n,903980,60.3282,81.2165,10k
b_min,2.611k,1,1.5n,894643,58.3274,81.2165,10k
b_min,2.611k,1,2.2n,871705,56.6587,81.2165,10k
b_min,2.611k,1,2.7n,853730,56.0808,81.2166,10k
b_min,2.611k,1,3.3n,833405,55.815,81.2166,10k
b_min,2.611k,1,4.7n,795444,56.0951,81.2167,10k
b_tip,1m,1,1f,888188,66.2708,81.399,100k
b_tip,1m,1,47p,890012,66.0135,81.399,100k
b_tip,1m,1,100p,891988,65.7197,81.399,100k
b_tip,1m,1,220p,896105,65.0432,81.399,100k
b_tip,1m,1,470p,902490,63.6198,81.399,100k
b_tip,1m,1,1n,905076,60.8166,81.399,100k
b_tip,1m,1,1.5n,895516,58.7964,81.399,100k
b_tip,1m,1,2.2n,872197,57.1134,81.399,100k
b_tip,1m,1,2.7n,854003,56.5302,81.399,100k
b_tip,1m,1,3.3n,833491,56.2603,81.399,100k
b_tip,1m,1,4.7n,795300,56.5341,81.399,100k
b_tip,1k,1,1f,888152,66.0923,81.399,100k
b_tip,1k,1,47p,889975,65.8347,81.399,100k
b_tip,1k,1,100p,891950,65.5405,81.399,100k
