modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
comp,S,riposo,35,1e-08,1148,9.822420183904e-09,-0.15562983078817277,9.822420183904e-09,9.822421074693e-09,4.899999900827,2.528994458269,4.899999900827,2.528994467924
comp,P,riposo,35,1e-08,1148,9.822421074693e-09,-0.15562904307043698,9.822420183904e-09,9.822421074693e-09,4.899999900827,2.528994458269,4.899999900827,2.528994467924
comp,P,d0.75,35,1.414214e-05,2212,1.363147510042e-05,-0.31944555227645455,9.822420183904e-09,1.363147510042e-05,4.899999900827,2.528994458269,4.899862334977,3.297675524904
comp,P,d1,35,0.02,3277,0.01382749285954,-3.2057310558118095,9.822420183904e-09,0.01382749285954,4.899999900827,2.528994458269,4.76033865455,4.171053173025
comp,S,cal_2mA,35,0.002,2939,0.001833375640418,-0.7555707793725287,0.001833375640418,9.822421074693e-09,4.881483386962,3.836500174926,4.899999900827,2.528994467924
comp,P,cal_2mA,35,0.002,2939,0.001833375640416,-0.7555707793820049,9.822420183904e-09,0.001833375640416,4.899999900827,2.528994458269,4.881483386962,3.836500174926
nocomp,S,d0,35,0.02,3252,0.01213333833842,-4.340993751700974,0.01213333833842,1.324312069154e-08,4.777450722592,4.140228831672,4.899999866283,2.560736573057
nocomp,S,d0.1,35,0.0002,2598,0.0001874731381725,-0.5618189284514206,0.0001874731381725,1.324312069154e-08,4.898106633379,3.57783626666,4.899999866283,2.560736573057
nocomp,S,d0.45,35,4.5e-06,2059,4.815620896082e-06,0.588795530268658,4.815620896082e-06,1.324312069154e-08,4.899951367434,3.187066583021,4.899999866283,2.560736573057
nocomp,S,d0.75,35,1.9e-07,1610,2.271394809051e-07,1.550780559567,2.271394809051e-07,1.324312069154e-08,4.899997706236,2.862626746792,4.899999866283,2.560736573057
nocomp,S,riposo,35,1e-08,1192,1.3243118931e-08,2.4398055857665946,1.3243118931e-08,1.324312069154e-08,4.899999866283,2.560736558946,4.899999866283,2.560736573057
nocomp,P,riposo,35,1e-08,1192,1.324312069154e-08,2.4398067404685353,1.3243118931e-08,1.324312069154e-08,4.899999866283,2.560736558946,4.899999866283,2.560736573057
nocomp,P,d0.75,35,1.414214e-05,2222,1.459062267351e-05,0.271173882765104,1.3243118931e-08,1.459062267351e-05,4.899999866283,2.560736558946,4.899852648362,3.304907630191
nocomp,P,d1,35,0.02,3252,0.01213333833843,-4.340993751693816,1.3243118931e-08,0.01213333833843,4.899999866283,2.560736558946,4.777450722592,4.140228831672
nocomp,S,cal_2mA,35,0.002,2925,0.001673113903479,-1.5500897495187207,0.001673113903479,1.324312069154e-08,4.883102014444,3.825181618218,4.899999866283,2.560736573057
nocomp,P,cal_2mA,35,0.002,2925,0.001673113903481,-1.5500897495083383,1.3243118931e-08,0.001673113903481,4.899999866283,2.560736558946,4.883102014444,3.825181618219
cal,S,d0,35,0.02,3331,0.0180843089412,-0.8745615603760806,0.0180843089412,1.037070535643e-08,4.717341350912,4.242128525817,4.89999989529,2.534764556379
cal,S,d0.1,35,0.0002,2610,0.0002033375438397,0.14375155294396394,0.0002033375438397,1.037070535643e-08,4.897946410129,3.586623128011,4.89999989529,2.534764556379
cal,S,d0.45,35,4.5e-06,2053,4.623057993142e-06,0.23433655256078292,4.623057993142e-06,1.037070535643e-08,4.899953312136,3.182730080411,4.89999989529,2.534764556379
cal,S,d0.75,35,1.9e-07,1588,1.955713899364e-07,0.251034427445175,1.955713899364e-07,1.037070535643e-08,4.899998025031,2.846732110621,4.89999989529,2.534764556379
cal,S,riposo,35,1e-08,1156,1.037070495951e-08,0.3161655802767662,1.037070495951e-08,1.037070535643e-08,4.89999989529,2.534764552327,4.89999989529,2.534764556379
cal,P,riposo,35,1e-08,1156,1.037070535643e-08,0.31616591271349587,1.037070495951e-08,1.037070535643e-08,4.89999989529,2.534764552327,4.89999989529,2.534764556379
cal,P,d0.75,35,1.414214e-05,2221,1.449174764265e-05,0.212112609170777,1.037070495951e-08,1.449174764265e-05,4.89999989529,2.534764552327,4.89985364692,3.304184398254
cal,P,d1,35,0.02,3331,0.01808430894119,-0.874561560380883,1.037070495951e-08,0.01808430894119,4.89999989529,2.534764552327,4.717341350912,4.242128525817
cal,S,cal_2mA,35,0.002,2952,0.001995302781357,-0.020423754478656252,0.001995302781357,1.037070535643e-08,4.879847936055,3.847109343136,4.89999989529,2.534764556379
cal,P,cal_2mA,35,0.002,2952,0.001995302781359,-0.02042375446994914,1.037070495951e-08,0.001995302781359,4.89999989529,2.534764552327,4.879847936055,3.847109343136
comp,S,d0,45,0.02,3302,0.01391867873289,-3.1486396995269326,0.01391867873289,9.819545944001e-09,4.759417024268,4.226260228758,4.899999900856,2.533736266894
comp,S,d0.1,45,0.0002,2604,0.0001909891089179,-0.40042786379280704,0.0001909891089179,9.819545944001e-09,4.898071119259,3.618658967554,4.899999900856,2.533736266894
comp,S,d0.45,45,4.5e-06,2030,4.372152816034e-06,-0.2503436143430381,4.372152816034e-06,9.819545944001e-09,4.899955846007,3.202595569772,4.899999900856,2.533736266894
comp,S,d0.75,45,1.9e-07,1550,1.851007914848e-07,-0.2269065033452023,1.851007914848e-07,9.819545944001e-09,4.899998130771,2.855782767539,4.899999900856,2.533736266894
comp,S,riposo,45,1e-08,1104,9.819545916337e-09,-0.15817189515464525,9.819545916337e-09,9.819545944001e-09,4.899999900856,2.533736266594,4.899999900856,2.533736266894
comp,P,riposo,45,1e-08,1104,9.819545944001e-09,-0.1581718706844251,9.819545916337e-09,9.819545944001e-09,4.899999900856,2.533736266594,4.899999900856,2.533736266894
comp,P,d0.75,45,1.414214e-05,2203,1.366389047671e-05,-0.2988151992885564,9.819545916337e-09,1.366389047671e-05,4.899999900856,2.533736266594,4.899862007445,3.327650928645
comp,P,d1,45,0.02,3302,0.01391867873289,-3.1486396995269326,9.819545916337e-09,0.01391867873289,4.899999900856,2.533736266594,4.759417024268,4.226260228758
comp,S,cal_2mA,45,0.002,2953,0.001832751341441,-0.758528992273842,0.001832751341441,9.819545944001e-09,4.881489631674,3.883066393962,4.899999900856,2.533736266894
comp,P,cal_2mA,45,0.002,2953,0.001832751341442,-0.7585289922691023,9.819545916337e-09,0.001832751341442,4.899999900856,2.533736266594,4.881489631674,3.883066393962
nocomp,S,d0,45,0.02,3252,0.01075165613597,-5.391092590451493,0.01075165613597,1.751902469508e-08,4.791406058672,4.166277799034,4.899999823104,2.597238944393
nocomp,S,d0.1,45,0.0002,2598,0.0001836194905601,-0.7422243505460908,0.0001836194905601,1.751902469508e-08,4.898145549197,3.614270019298,4.899999823104,2.597238944393
nocomp,S,d0.45,45,4.5e-06,2059,5.292476995878e-06,1.40892930457641,5.292476995878e-06,1.751902469508e-08,4.899946551596,3.223554015265,4.899999823104,2.597238944393
nocomp,S,d0.75,45,1.9e-07,1610,2.748312011715e-07,3.206248700614967,2.748312011715e-07,1.751902469508e-08,4.899997224614,2.899129409807,4.899999823104,2.597238944393
nocomp,S,riposo,45,1e-08,1192,1.75190250172e-08,4.870198656010765,1.75190250172e-08,1.751902469508e-08,4.899999823104,2.597238946362,4.899999823104,2.597238944393
nocomp,P,riposo,45,1e-08,1192,1.751902469508e-08,4.870198496304457,1.75190250172e-08,1.751902469508e-08,4.899999823104,2.597238946362,4.899999823104,2.597238944393
nocomp,P,d0.75,45,1.414214e-05,2222,1.548518636339e-05,0.788026084223725,1.75190250172e-08,1.548518636339e-05,4.899999823104,2.597238946362,4.899843613793,3.341391344488
nocomp,P,d1,45,0.02,3252,0.01075165613598,-5.391092590443414,1.75190250172e-08,0.01075165613598,4.899999823104,2.597238946362,4.791406058672,4.166277799034
nocomp,S,cal_2mA,45,0.002,2925,0.001534378876312,-2.3019476939674046,0.001534378876312,1.751902469508e-08,4.884503172207,3.860596345517,4.899999823104,2.597238944393
nocomp,P,cal_2mA,45,0.002,2925,0.00153437887631,-2.301947693978727,1.75190250172e-08,0.00153437887631,4.899999823104,2.597238946362,4.884503172207,3.860596345517
cal,S,d0,45,0.02,3357,0.01817142148605,-0.8328218741077259,0.01817142148605,1.041822823625e-08,4.716460533017,4.2980261328,4.899999894811,2.54022715724
cal,S,d0.1,45,0.0002,2613,0.0002025991842923,0.11215393602435428,0.0002025991842923,1.041822823625e-08,4.897953862468,3.625246696212,4.899999894811,2.54022715724
cal,S,d0.45,45,4.5e-06,2038,4.60873829055e-06,0.2073906685108664,4.60873829055e-06,1.041822823625e-08,4.899953456718,3.208377085324,4.899999894811,2.54022715724
cal,S,d0.75,45,1.9e-07,1559,1.964068425599e-07,0.2880602603735665,1.964068425599e-07,1.041822823625e-08,4.899998016596,2.862284666815,4.899999894811,2.54022715724
cal,S,riposo,45,1e-08,1113,1.041822760204e-08,0.3558768204866678,1.041822760204e-08,1.041822823625e-08,4.899999894811,2.540227150587,4.899999894811,2.54022715724
cal,P,riposo,45,1e-08,1113,1.041822823625e-08,0.3558773492405126,1.041822760204e-08,1.041822823625e-08,4.899999894811,2.540227150587,4.899999894811,2.54022715724
cal,P,d0.75,45,1.414214e-05,2212,1.449825252246e-05,0.2160105511345559,1.041822760204e-08,1.449825252246e-05,4.899999894811,2.540227150587,4.89985358105,3.334159231971
cal,P,d1,45,0.02,3357,0.01817142148605,-0.8328218741077259,1.041822760204e-08,0.01817142148605,4.899999894811,2.540227150587,4.716460533017,4.2980261328
cal,S,cal_2mA,45,0.002,2966,0.001989555860196,-0.04547716894628252,0.001989555860196,1.041822823625e-08,4.87990591298,3.893637111572,4.899999894811,2.54022715724
cal,P,cal_2mA,45,0.002,2966,0.001989555860196,-0.04547716894628252,1.041822760204e-08,0.001989555860196,4.899999894811,2.540227150587,4.87990591298,3.893637111572
comp,S,d0,60,0.02,3340,0.01408223948002,-3.0471654017092327,0.01408223948002,9.816230107284e-09,4.75776400065,4.309332368446,4.899999900891,2.540556997997
comp,S,d0.1,60,0.0002,2609,0.0001911282564772,-0.39410195188006786,0.0001911282564772,9.816230107284e-09,4.898069707349,3.676661701909,4.899999900891,2.540556997997
comp,S,d0.45,60,4.5e-06,2007,4.350132633474e-06,-0.2942003037348798,4.350132633474e-06,9.816230107284e-09,4.899956068346,3.240404842911,4.899999900891,2.540556997997
comp,S,d0.75,60,1.9e-07,1506,1.861191430127e-07,-0.1792511359983615,1.861191430127e-07,9.816230107284e-09,4.89999812049,2.878452726209,4.899999900891,2.540556997997
comp,S,riposo,60,1e-08,1038,9.816229917371e-09,-0.1611055608856389,9.816229917371e-09,9.816230107284e-09,4.899999900891,2.540556995762,4.899999900891,2.540556997997
comp,P,riposo,60,1e-08,1038,9.816230107284e-09,-0.16110539284115083,9.816229917371e-09,9.816230107284e-09,4.899999900891,2.540556995762,4.899999900891,2.540556997997
comp,P,d0.75,60,1.414214e-05,2189,1.366615682538e-05,-0.2973746416300551,9.816229917371e-09,1.366615682538e-05,4.899999900891,2.540556995762,4.899861984319,3.371950987418
comp,P,d1,60,0.02,3340,0.01408223948002,-3.0471654017092327,9.816229917371e-09,0.01408223948002,4.899999900891,2.540556995762,4.75776400065,4.309332368446
comp,S,cal_2mA,60,0.002,2975,0.001842978007446,-0.7101968584025773,0.001842978007446,9.816230107284e-09,4.881386252091,3.953418713135,4.899999900891,2.540556997997
comp,P,cal_2mA,60,0.002,2975,0.001842978007443,-0.7101968584167163,9.816229917371e-09,0.001842978007443,4.899999900891,2.540556995762,4.881386252091,3.953418713135
