out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
main,12,0,10db,60.1281,60.1281,47.1092,47.1814,1693.38,57.9914,0.121692,0.858743
fix1,12,0,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,0,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,25,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386438,0.274388
fix1,12,25,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,25,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,25,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548695,0.388843
fix1,12,25,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,25,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,25,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121688,0.85875
fix1,12,25,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,25,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,50,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386432,0.274388
fix1,12,50,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,50,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,50,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548684,0.388842
fix1,12,50,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,50,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,50,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121683,0.85875
fix1,12,50,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,50,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,75,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386427,0.274387
fix1,12,75,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,75,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,75,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548674,0.388841
fix1,12,75,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,75,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,75,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121679,0.858743
fix1,12,75,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,75,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,100,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386421,0.274385
fix1,12,100,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,100,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,100,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548664,0.388837
fix1,12,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,100,10db,60.1281,60.1281,47.1092,47.1814,1693.38,57.9914,0.121674,0.85873
fix1,12,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
