col0,col1,col2,col3,col4,col5,col6,col7
0.00019028,0.465211343,0.00019028,1.41146235,0.00019028,1.45835814,0.00019028,2.30366343
0.00019128,0.466353509,0.00019128,1.41514518,0.00019128,1.46203394,0.00019128,2.30737171
0.00019228,0.467477264,0.00019228,1.41877024,0.00019228,1.46565199,0.00019228,2.31102181
0.00019328,0.468582565,0.00019328,1.42233737,0.00019328,1.46921215,0.00019328,2.31461359
0.00019428,0.469669366,0.00019428,1.42584644,0.00019428,1.47271428,0.00019428,2.3181469
0.00019528,0.470737626,0.00019528,1.42929732,0.00019528,1.47615824,0.00019528,2.3216216
0.00019628,0.471787301,0.00019628,1.43268985,0.00019628,1.47954388,0.00019628,2.32503756
0.00019728,0.472818352,0.00019728,1.43602392,0.00019728,1.48287109,0.00019728,2.32839465
0.00019828,0.473830736,0.00019828,1.43929939,0.00019828,1.48613973,0.00019828,2.33169271
0.00019928,0.474824415,0.00019928,1.44251613,0.00019928,1.48934967,0.00019928,2.33493164
0.00020028,0.475799348,0.00020028,1.44567401,0.00020028,1.49250078,0.00020028,2.3381113
0.00020128,0.476755497,0.00020128,1.4487729,0.00020128,1.49559294,0.00020128,2.34123157
0.00020228,0.477692825,0.00020228,1.45181269,0.00020228,1.49862603,0.00020228,2.34429232
0.00020328,0.478611294,0.00020328,1.45479326,0.00020328,1.50159992,0.00020328,2.34729343
0.00020428,0.479510869,0.00020428,1.45771449,0.00020428,1.5045145,0.00020428,2.35023478
0.00020528,0.480391513,0.00020528,1.46057626,0.00020528,1.50736966,0.00020528,2.35311626
0.00020628,0.481253192,0.00020628,1.46337845,0.00020628,1.51016527,0.00020628,2.35593775
0.00020728,0.482095873,0.00020728,1.46612097,0.00020728,1.51290124,0.00020728,2.35869915
0.00020828,0.48291952,0.00020828,1.4688037,0.00020828,1.51557745,0.00020828,2.36140033
0.00020928,0.483724104,0.00020928,1.47142653,0.00020928,1.5181938,0.00020928,2.36404121
0.00021028,0.48450959,0.00021028,1.47398936,0.00021028,1.52075018,0.00021028,2.36662166
0.00021128,0.485275949,0.00021128,1.47649209,0.00021128,1.5232465,0.00021128,2.3691416
0.00021228,0.48602315,0.00021228,1.47893463,0.00021228,1.52568265,0.00021228,2.37160091
0.00021328,0.486751164,0.00021328,1.48131687,0.00021328,1.52805854,0.00021328,2.37399951
0.00021428,0.487459961,0.00021428,1.48363871,0.00021428,1.53037407,0.00021428,2.3763373
0.00021528,0.488149515,0.00021528,1.48590008,0.00021528,1.53262916,0.00021528,2.37861418
0.00021628,0.488819797,0.00021628,1.48810088,0.00021628,1.53482371,0.00021628,2.38083007
0.00021728,0.489470781,0.00021728,1.49024102,0.00021728,1.53695764,0.00021728,2.38298488
0.00021828,0.490102442,0.00021828,1.49232042,0.00021828,1.53903086,0.00021828,2.38507853
0.00021928,0.490714754,0.00021928,1.49433899,0.00021928,1.54104329,0.00021928,2.38711092
0.00022028,0.491307694,0.00022028,1.49629667,0.00022028,1.54299486,0.00022028,2.38908199
0.00022128,0.491881238,0.00022128,1.49819336,0.00022128,1.54488548,0.00022128,2.39099165
0.00022228,0.492435364,0.00022228,1.50002899,0.00022228,1.54671508,0.00022228,2.39283982
0.00022328,0.492970048,0.00022328,1.5018035,0.00022328,1.54848359,0.00022328,2.39462645
0.00022428,0.493485272,0.00022428,1.50351681,0.00022428,1.55019093,0.00022428,2.39635144
0.00022528,0.493981013,0.00022528,1.50516885,0.00022528,1.55183705,0.00022528,2.39801475
0.00022628,0.494457253,0.00022628,1.50675956,0.00022628,1.55342187,0.00022628,2.39961629
0.00022728,0.494913972,0.00022728,1.50828888,0.00022728,1.55494534,0.00022728,2.40115601
0.00022828,0.495351153,0.00022828,1.50975674,0.00022828,1.55640739,0.00022828,2.40263385
0.00022928,0.495768778,0.00022928,1.5111631,0.00022928,1.55780796,0.00022928,2.40404975
