mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.611k,2,1n,363941,67.4704,81.6963,10k
0db,2.611k,2,1.5n,365407,66.5006,81.6962,10k
0db,2.611k,2,2.2n,367349,65.1247,81.6962,10k
0db,2.611k,2,2.7n,368650,64.1305,81.6962,10k
0db,2.611k,2,3.3n,370105,62.9266,81.6962,10k
0db,2.611k,2,4.7n,373048,60.0812,81.6961,10k
3db,1m,1,1f,298418,83.4532,78.4045,100k
3db,1m,1,47p,298517,83.3825,78.4045,100k
3db,1m,1,100p,298623,83.3026,78.4045,100k
3db,1m,1,220p,298846,83.1217,78.4045,100k
3db,1m,1,470p,299226,82.7454,78.4045,100k
3db,1m,1,1n,299646,81.9573,78.4045,100k
3db,1m,1,1.5n,299561,81.239,78.4045,100k
3db,1m,1,2.2n,298692,80.2997,78.4044,100k
3db,1m,1,2.7n,297589,79.6897,78.4044,100k
3db,1m,1,3.3n,295823,79.0346,78.4044,100k
3db,1m,1,4.7n,290506,77.8343,78.4044,100k
3db,1m,2,1f,298418,83.4532,78.4045,100k
3db,1m,2,47p,298519,83.3823,78.4045,100k
3db,1m,2,100p,298632,83.3023,78.4045,100k
3db,1m,2,220p,298886,83.1208,78.4045,100k
3db,1m,2,470p,299407,82.7413,78.4045,100k
3db,1m,2,1n,300480,81.9308,78.4045,100k
3db,1m,2,1.5n,301448,81.1591,78.4044,100k
3db,1m,2,2.2n,302748,80.0667,78.4044,100k
3db,1m,2,2.7n,303627,79.2789,78.4044,100k
3db,1m,2,3.3n,304611,78.3274,78.4044,100k
3db,1m,2,4.7n,306582,76.0881,78.4043,100k
3db,1k,1,1f,298416,83.3595,78.4045,100k
3db,1k,1,47p,298514,83.2887,78.4045,100k
3db,1k,1,100p,298620,83.2088,78.4045,100k
3db,1k,1,220p,298843,83.0279,78.4045,100k
3db,1k,1,470p,299223,82.6514,78.4045,100k
3db,1k,1,1n,299644,81.8632,78.4045,100k
3db,1k,1,1.5n,299558,81.1449,78.4045,100k
3db,1k,1,2.2n,298689,80.2059,78.4044,100k
3db,1k,1,2.7n,297586,79.5962,78.4044,100k
3db,1k,1,3.3n,295820,78.9417,78.4044,100k
3db,1k,1,4.7n,290503,77.7431,78.4044,100k
3db,1k,2,1f,298416,83.3595,78.4045,100k
3db,1k,2,47p,298516,83.2886,78.4045,100k
3db,1k,2,100p,298629,83.2085,78.4045,100k
3db,1k,2,220p,298883,83.027,78.4045,100k
3db,1k,2,470p,299404,82.6473,78.4045,100k
3db,1k,2,1n,300477,81.8364,78.4045,100k
3db,1k,2,1.5n,301445,81.0644,78.4044,100k
3db,1k,2,2.2n,302745,79.9716,78.4044,100k
3db,1k,2,2.7n,303624,79.1836,78.4044,100k
3db,1k,2,3.3n,304608,78.2317,78.4044,100k
3db,1k,2,4.7n,306578,75.9919,78.4043,100k
3db,2.5k,1,1f,298406,83.2195,78.4045,100k
3db,2.5k,1,47p,298504,83.1486,78.4045,100k
3db,2.5k,1,100p,298610,83.0687,78.4045,100k
3db,2.5k,1,220p,298833,82.8877,78.4045,100k
3db,2.5k,1,470p,299213,82.5111,78.4045,100k
3db,2.5k,1,1n,299634,81.7227,78.4045,100k
3db,2.5k,1,1.5n,299548,81.0044,78.4045,100k
3db,2.5k,1,2.2n,298679,80.0658,78.4044,100k
3db,2.5k,1,2.7n,297577,79.4568,78.4044,100k
3db,2.5k,1,3.3n,295811,78.803,78.4044,100k
3db,2.5k,1,4.7n,290495,77.6069,78.4044,100k
3db,2.5k,2,1f,298406,83.2195,78.4045,100k
3db,2.5k,2,47p,298506,83.1485,78.4045,100k
3db,2.5k,2,100p,298619,83.0684,78.4045,100k
3db,2.5k,2,220p,298872,82.8867,78.4045,100k
3db,2.5k,2,470p,299394,82.5069,78.4045,100k
3db,2.5k,2,1n,300467,81.6955,78.4045,100k
3db,2.5k,2,1.5n,301435,80.9231,78.4044,100k
3db,2.5k,2,2.2n,302734,79.8297,78.4044,100k
3db,2.5k,2,2.7n,303613,79.0413,78.4044,100k
3db,2.5k,2,3.3n,304597,78.0891,78.4044,100k
3db,2.5k,2,4.7n,306567,75.8484,78.4043,100k
3db,2.571k,1,1f,298405,83.2129,78.4045,100k
3db,2.571k,1,47p,298503,83.142,78.4045,100k
3db,2.571k,1,100p,298610,83.0621,78.4045,100k
3db,2.571k,1,220p,298832,82.8811,78.4045,100k
3db,2.571k,1,470p,299212,82.5044,78.4045,100k
3db,2.571k,1,1n,299633,81.716,78.4045,100k
3db,2.571k,1,1.5n,299548,80.9978,78.4045,100k
3db,2.571k,1,2.2n,298678,80.0592,78.4044,100k
3db,2.571k,1,2.7n,297576,79.4502,78.4044,100k
3db,2.571k,1,3.3n,295810,78.7965,78.4044,100k
3db,2.571k,1,4.7n,290494,77.6005,78.4044,100k
3db,2.571k,2,1f,298405,83.2129,78.4045,100k
3db,2.571k,2,47p,298505,83.1419,78.4045,100k
3db,2.571k,2,100p,298618,83.0618,78.4045,100k
3db,2.571k,2,220p,298872,82.8801,78.4045,100k
3db,2.571k,2,470p,299394,82.5002,78.4045,100k
3db,2.571k,2,1n,300466,81.6889,78.4045,100k
3db,2.571k,2,1.5n,301434,80.9164,78.4044,100k
3db,2.571k,2,2.2n,302733,79.823,78.4044,100k
3db,2.571k,2,2.7n,303612,79.0346,78.4044,100k
3db,2.571k,2,3.3n,304596,78.0823,78.4044,100k
3db,2.571k,2,4.7n,306566,75.8416,78.4043,100k
3db,2.611k,1,1f,298404,83.2091,78.4045,100k
3db,2.611k,1,47p,298503,83.1383,78.4045,100k
3db,2.611k,1,100p,298609,83.0584,78.4045,100k
3db,2.611k,1,220p,298832,82.8773,78.4045,100k
3db,2.611k,1,470p,299212,82.5007,78.4045,100k
3db,2.611k,1,1n,299632,81.7123,78.4045,100k
3db,2.611k,1,1.5n,299547,80.9941,78.4045,100k
3db,2.611k,1,2.2n,298678,80.0555,78.4044,100k
3db,2.611k,1,2.7n,297576,79.4465,78.4044,100k
3db,2.611k,1,3.3n,295810,78.7928,78.4044,100k
3db,2.611k,1,4.7n,290494,77.5969,78.4044,100k
3db,2.611k,2,1f,298404,83.2091,78.4045,100k
3db,2.611k,2,47p,298505,83.1382,78.4045,100k
3db,2.611k,2,100p,298618,83.0581,78.4045,100k
3db,2.611k,2,220p,298872,82.8764,78.4045,100k
3db,2.611k,2,470p,299393,82.4965,78.4045,100k
3db,2.611k,2,1n,300466,81.6851,78.4045,100k
3db,2.611k,2,1.5n,301434,80.9126,78.4044,100k
3db,2.611k,2,2.2n,302733,79.8193,78.4044,100k
3db,2.611k,2,2.7n,303612,79.0308,78.4044,100k
3db,2.611k,2,3.3n,304596,78.0785,78.4044,100k
3db,2.611k,2,4.7n,306566,75.8378,78.4043,100k
3db,1m,1,1f,297987,83.4557,78.2097,10k
3db,1m,1,47p,298084,83.3857,78.2097,10k
3db,1m,1,100p,298189,83.3067,78.2097,10k
3db,1m,1,220p,298408,83.1279,78.2097,10k
3db,1m,1,470p,298784,82.7557,78.2098,10k
3db,1m,1,1n,299202,81.9763,78.2098,10k
3db,1m,1,1.5n,299122,81.2657,78.2098,10k
3db,1m,1,2.2n,298273,80.3357,78.2098,10k
3db,1m,1,2.7n,297192,79.7311,78.2099,10k
3db,1m,1,3.3n,295456,79.081,78.2099,10k
3db,1m,1,4.7n,290228,77.8858,78.2099,10k
3db,1m,2,1f,297987,83.4557,78.2097,10k
3db,1m,2,47p,298086,83.385,78.2097,10k
3db,1m,2,100p,298199,83.3052,78.2097,10k
3db,1m,2,220p,298451,83.1242,78.2097,10k
3db,1m,2,470p,298970,82.7457,78.2097,10k
3db,1m,2,1n,300037,81.9374,78.2097,10k
3db,1m,2,1.5n,301000,81.1679,78.2097,10k
3db,1m,2,2.2n,302280,80.0796,78.2096,10k
3db,1m,2,2.7n,303154,79.2942,78.2096,10k
3db,1m,2,3.3n,304132,78.3456,78.2096,10k
3db,1m,2,4.7n,306091,76.1132,78.2095,10k
3db,1k,1,1f,297984,83.3621,78.2097,10k
3db,1k,1,47p,298081,83.2921,78.2097,10k
3db,1k,1,100p,298186,83.2131,78.2097,10k
3db,1k,1,220p,298406,83.0341,78.2097,10k
3db,1k,1,470p,298781,82.6619,78.2098,10k
3db,1k,1,1n,299199,81.8824,78.2098,10k
3db,1k,1,1.5n,299119,81.1718,78.2098,10k
3db,1k,1,2.2n,298270,80.242,78.2098,10k
3db,1k,1,2.7n,297189,79.6378,78.2099,10k
3db,1k,1,3.3n,295454,78.9882,78.2099,10k
3db,1k,1,4.7n,290226,77.7947,78.2099,10k
3db,1k,2,1f,297984,83.3621,78.2097,10k
3db,1k,2,47p,298084,83.2914,78.2097,10k
